ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,DATE_DOWNLOAD
7317,204,12.99,6.99,24/02/16
7318,10,9.99,7.99,24/02/16
7319,11,89.99,44.99,24/02/16
7320,12,99.99,54.99,24/02/16
7321,617,3.99,3.99,24/02/16
7322,27,29.99,11.99,24/02/16
7323,20,59.99,17.99,24/02/16
7324,31,29.99,9.99,24/02/16
7325,1674,49.99,29.99,24/02/16
7326,614,9.99,2.99,24/02/16
7327,28,59.99,29.99,24/02/16
7328,18,89.99,39.99,24/02/16
7329,13,99.99,49.99,24/02/16
7330,106,29.99,9.99,24/02/16
7331,15,109.99,54.99,24/02/16
7332,606,99.99,54.99,24/02/16
7333,24,59.99,34.99,24/02/16
7334,32,69.99,44.99,24/02/16
7335,2226,29.99,12.99,24/02/16
7336,47,19.99,9.99,24/02/16
7337,1159,99.99,64.99,24/02/16
7338,0,69.99,39.99,24/02/16
7339,1,99.99,49.99,24/02/16
7340,53,16.99,5.99,24/02/16
7342,7,59.99,24.99,24/02/16
7343,633,14.99,6.99,24/02/16
7344,1725,299.99,99.99,24/02/16
7345,637,39.99,14.99,24/02/16
7346,60,39.99,14.99,24/02/16
7347,668,79.99,19.99,24/02/16
7348,43,24.99,12.99,24/02/16
7349,632,3.99,3.99,24/02/16
7350,461,19.99,9.99,24/02/16
7351,96,19.99,8.99,24/02/16
7352,652,49.99,24.99,24/02/16
7353,39,49.99,29.99,24/02/16
7354,21,99.99,59.99,24/02/16
7355,130,29.99,9.99,24/02/16
7356,63,39.99,19.99,24/02/16
7357,89,69.99,29.99,24/02/16
7358,37,99.99,54.99,24/02/16
7359,587,24.99,9.99,24/02/16
7360,98,24.99,4.99,24/02/16
7361,125,19.99,7.99,24/02/16
7362,36,59.99,34.99,24/02/16
7363,22,69.99,49.99,24/02/16
7364,44,54.99,14.99,24/02/16
7365,152,49.99,24.99,24/02/16
7369,1201,69.99,29.99,24/02/16
7370,683,29.99,9.99,24/02/16
7371,631,59.99,29.99,24/02/16
7372,730,74.99,39.99,24/02/16
7373,192,29.99,11.99,24/02/16
7374,82,19.99,9.99,24/02/16
7375,623,39.99,14.99,24/02/16
7376,646,29.99,14.99,24/02/16
7377,26,69.99,44.99,24/02/16
7378,163,24.99,6.99,24/02/16
7379,58,89.99,34.99,24/02/16
7380,57,39.99,19.99,24/02/16
7381,126,2.99,0.99,24/02/16
7382,33,44.99,34.99,24/02/16
7383,686,29.99,5.99,24/02/16
7384,116,12.99,4.99,24/02/16
7385,75,14.99,14.99,24/02/16
7386,1180,59.99,39.99,24/02/16
7387,1213,19.99,6.99,24/02/16
7388,695,29.99,7.99,24/02/16
7389,134,39.99,9.99,24/02/16
7390,136,24.99,9.99,24/02/16
