ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,URL
0,MASABOOM,El gran masajeador sexual,"Este es el juguete para todas, todos y todes. Un juguete que es para todas las partes de nuestro cuerpo, para cuidarlo y darle el masaje completo que se merece. El bienestar sexual empieza por conseguir un estado de relajación total. Para ello te animamos a parar un poco el ritmo y a que conectes con los malestares de tu cuerpo y los mimes a tope. Esto hará que te sientas más receptiva para luego tener relaciones sexuales.¿Eres fan de los masajes? Si la respuesta es sí, te presentamos MASABOOM, un masajeador con forma de micrófono. Este modelo en concreto tiene las dimensiones más grandes que podemos encontrar en este tipo de juguete. Gracias a esto podemos llegar a más partes del cuerpo si somos nosotras mismas las que nos estamos masajeando. Si estamos con otra persona también nos echará un cable en posturas que necesitan mayor alcance por parte del juguete.MASABOOM es un vibrador con tiene 10 intensidades vibratorias, alcanzando una gran potencia en las más altas y un agradable cosquilleo en las más bajas. Este juguete sirve como un masturbador para genitales, pero su versatilidad es infinita y también será nuestro masajeador a domicilio para descontracturar o masajearnos zonas del cuerpo doloridas después de hacer ejercicio, por ejemplo.Su diseño es de lo más elegante, mezclando colores sobrios con dorados y plateados, además su textura es de una silicona suave y aterciopelada que nos ofrecerá un tacto de lo más agradable con nuestra piel.Tiene un cabezal que mide 4 centímetros de diámetro así que abarca amplias zonas de nuestra anatomía, además el cabezal es giratorio por lo que podremos colarnos por zonas más curvadas. El mango de MASABOOM es también especialmente largo, ¡nada más y nada menos que 33 centímetros! por lo que este juguete también se convierte en algo útil para personas con algún tipo de discapacidad física haciendo llegar a zonas del cuerpo que con juguetes más pequeños no podríamos.","Masajeador con forma de micrófonoMaterial: silicona + abs10 modos de vibraciónTipo de carga: mediante cable USB (incluido)Sumergible IPX7Color: plateado/negro o morado/doradoMedidas: 4cm x 33cmCómo usar el masajeador MASABOOMPara encenderlo, tienes que apretar con pulsación larga el botón que encontrarás en el medio, una vez se encienda la luz, vuelve a pulsar ese botón de nuevo. En ese momento encontrarás que MASABOOM empieza a vibrar de manera continuada, en el botón del más podrás subir de intensidad y en el menos bajarla.No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/masaboom-el-gran-masajeador-sexual/
1,MASSAJI,Potente masajeador japonés sumergible de silicona,"¿Quieres una velada perfecta tras un largo día en el trabajo? Pues disfruta dándote un buen masaje relajante, desde los pies hasta la espalda, y cuando todo tu cuerpo esté liberado de tensiones y relajado, regálale un orgasmo de película.Enciende una vela, pon algo de música de fondo y disfruta de un suave masaje… masajea el cuerpo de tu amante o el tuyo, incide en las zonas que a lo largo del día han acumulado más tensión, y aprovéchate de sus 9 modos de vibración diferentes para dejar atrás toda esa tensión. Poco a poco tu cuerpo se relaja, se destensa y se vuelve más receptivo a los estímulos….Ahora, ha llegado el momento de pasar a un nivel superior de disfrute: aplícate un poco de Desliz! lubricante a base de agua en tus zonas más erógenas y déjate llevar por las sensaciones más intensas que puedas imaginar. Massaji dispone de un cabezal pensado para masajear puntos orgásmicos como los labios exteriores de la vulva, los pezones o los testículos, y un mando con estrías que harán vibrar cualquier parte de tu cuerpo. Así que mima y excita tu cuerpo tanto como se merece hasta hacerlo estallar de placer.A estas alturas seguro que ya fantaseas con tener a Massaji recorriendo tu cuerpo, y es que Massaji está lleno de cualidades, unas ya las sabes, otras como que es uno de los juguetes más silenciosos que encontrarás, o que puede ser usado bajo el agua te lo acabamos de decir, pero es que Massaji está lleno de virtudes que solo descubrirás cuando lo sientas contra ti, ¿te animas?",Masajeador Japonés Massaji Material: Silicona médica y ABS Sumergible IPX7 Recargable USB Medidas: 20cm X 4cm  Vibración: 9 modos Lavar antes y después de cada uso con limpiador y agua caliente. ,https://www.amantis.net/massaji-potente-masajeador-japones-sumergible-silicona/
2,DIGIT PRO,dedal vibrador con sujeción,"Los dedos siempre han sido grandes aliados de las vaginas, tanto para estimularnos de manera externa como de manera interna. Gracias a su movilidad y viveza, a su longitud y flexibilidad son nuestros compañeros que nos ayudan a llegar al orgasmo. Pues bien, DIGIT PRO es un dedal vibrador, es decir un complemento ideal para nuestras sesiones masturbatorias que dirigen nuestras queridas manitas. Podríamos decir que este juguete cumple las mismas funciones que una bala vibradora pero en esta ocasión tiene una funcionalidad más; y esa será una muy importante y es la de sujeción. El hecho de que podamos llevarlo como si fuera un dedal hace que podamos ejercer más control sobre el movimiento. Este pequeño vibrador está hecho de silicona de grado médico y biocompatible, su textura al tacto es muy agradable y suave y tiene 9 patrones de vibración. DIGIT PRO está pensado para estimular la parte externa de tu genital, es decir tu vulva, aunque gracias a que tendrá un efecto alargador de tu dedo podrás estimular zonas próximas a la entrada de tu vagina e incluso introducir el dedo por completo.","Dedal vibradorMaterial: silicona de grado médicoVibración: 9 modosRecargable por cable USB (incluido)Sumergible IPX7Silencioso <40 dbsColor: púrpura o fucsia¿Cómo se utiliza el dedal vibrador DIGIT PRO?Podremos introducir nuestro dedo dentro del juguete y lo esto hará que lo llevemos puesto. Primero por una anilla que quedará a la altura de dónde quedaría un anillo normal. La punta del dedo quedará cubierta y esa zona por la parte de abajo será la que vibre y transmita esa vibración a través de sus estrias. Con tan solo un botón podremos jugar, solo tienes que apretarlo una y otra vez para viajar entre los 9 patrones de vibración diferentes.No olvides que también podrá llevarlo otra persona y que al ser una prolongación de su propio dedo podrá hacer movimientos mucho más precisos otorgándonos así más placer.Aunque no sea un juguete para introducirlo, te recomendamos siempre usar uno de nuestros lubricantes a base de agua como Desliz! para favorecer el deslizamiento y la sensibilidad.No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/digit-pro-dedal-vibrador-sujecion/
3,MINI CARNIVAL,mini_masajeador con cuatro cabezales,"¿Conoces a MINI+? Puse hoy es tu día de suerte, elige tu disfraz y sal a disfrutar. ¿Te apetece jugar con las clásicas e infalibles orejas de conejito o mejor disfrutarlo directamente de toda su potencia con su cabezal redondo? Sus 4 opciones te darán diferentes sensaciones, 4 diferentes atuendos para tus noches más pintorescas. Deja que MINI CARNIVAL conozca cada parte de tu anatomía para elevarte al placer más festivo.Este pequeñín de tacto suave hecho con silicona tiene la potencia suficiente como para hacerte temblar.¿Le aguantarás tú el ritmo?","Mini masajeador con cuatro cabezalesCabezales extraíblesMaterial: silicona (sin ftalatos ni látex)Pila: Una pila AA, no incluidaVibración: un modoMedidas: longitud 10 cm; 2.5 cm de diámetroSalpicable (no sumergible)Color: FucsiaLimpieza y conservación:Extrae el cabezal que hayas usado y límpialo con agua tibia y Limpín. Sécalo bien antes de guardarlo. Mantenlo alejado de otros juguetes. Utiliza únicamente lubricantes a base de agua. ",https://www.amantis.net/mini-carnival-mini-masajeador-cuatro-cabezales/
4,LINGÜS,Vibrador para Sexo Oral de amantis,"Milenios de sabiduría en el arte del cunnilingus han sido volcados en el diseño de LINGÜS, un vibrador que habla el idioma vulvánico a la perfección. Be ready para que este juguete entienda y de respuesta a la necesidades de tu cuerpo, estás ante un maestro de las lenguas. LINGÜS es un vibrador con una bonita y sauve lengua que hará de simulador de sexo oral. Este juguete nos ofrece viajar desde la más suave de las delicadezas con ligerisimas cosquillitas hasta la más cañera de las intensidades con su potencia de lengua .La suave lengua de LINGÜS es muy, muy fina, tan fina que gracias a la vibración que recibe del juguete, se mueve a una velocidad ultrasónica. A través de sus 10 ritmos de vibración y de la presión con la que decides incidir en ciertas zonas, disfrutarás de muchos niveles de cosquilleo en sus intensidades más bajas, así como de lengüetazos más cañeros subiendo la intensidad.Debajo de la lengua, para que combines diferentes sensaciones, nos encontramos con el círculo del placer, este círculo está compuesto por una comunidad de microrelieves intensificadores. Gracias a su pequeño tamaño, estos pequeños “pelitos”, nos servirán para estimular zonas muy específicas y concretas de nuestra anatomía. LINGÜS es un juguete focalizador de placer en toda regla.Además, una de las razones de porqué los cunnilingus son tan placenteros es porque nuestra boca tiene una temperatura de 36 grados, y aquí viene la buena nueva, ¡LINGÜS tiene función calorcito!Ojo, que por la forma redondeada de la lengüeta, es un juguete que puede abrazar y estimular de una manera muy sorprendente glande, pezones y testículos. También puedes probar a besarte con LINGÜS, a ver que pasa, los labios y la lengua son despertadores de la excitación.Si eres de las personas que buscan pequeñas pero intensas sensaciones, alargar la fase de excitación previa al orgasmo y entregarte al juego, LINGÜS se presta de lo lindo.Como se usa el vibrador con lengua LINGÜS:LINGÜS es muy fácil de usar, sólo tiene un botón, para encenderlo has de pulsarlo durante tres segundos y sentirás una leve vibración. Una vez encendido, con pulsación corta podrás viajar a través de sus diferentes ritmos.Si tienes un día sensible, LINGÜS en sus primeras vibraciones podrá hacerte unas divertidas cosquillitas que te relajaran. Ahora bien, si tienes el día más cañero, este juguete también te dará unos buenos lengüetazos que están cerca de un micro spanking, especialmente placentero en pezones y clítoris. Prueba a dar leves espasmos en estas zonas y verás como tu excitación sube como la espuma. ¡No dejes al glande, a los testículos y a los pezones fuera de este juego o no te lo perdonarán!Podrás usar LINGÜS de la manera que más te apetezca, aplica una cantidad generosa de alguno de nuestros lubricantes de agua Desliz! . Te recomendamos que lo limpies antes y después con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén.",Material: silicona + abs10 modos de vibraciónTipo de carga: mediante cable USB (incluido)Sumergible IPX7Medidas: 190x37x30PESO: 97gColor: morado ,https://www.amantis.net/lingus-vibrador-sexo-oral/
5,MASAJE SEXY con 8 programas,potente masaje mágico de 220v,"Probablemente el masajeador más potente que puedas encontrar acaba de entrar en amantis y es el único que se enchufa directamente a la corriente... para no perder nada de potencia. Relájate y disfruta de sus 8 programas diferentes de vibración porque este poderoso masaje mágico va a estar contigo hasta derretir todos tus sentidos y dejar un charquito. Si deslizas su cabezal basculante, siguiendo la dirección de los músculos y ajustando la marcha de vibración y la presión que ejerzas en cada zona masajeada, disfrutarás de una sensación muy parecida a la que tendrías con un chorro de agua a presión dirigida a esa zona, y su mango alargado facilita el auto-masaje... si no tienes a nadie cerca para hacértelo. Masaje-Sexy estimula los genitales externos femeninos y otras áreas sensibles de infinitas maneras deliciosas, sobre todo si lo lubricas convenientemente con tu fórmula preferida. Cubriendo y masajeando la vulva de forma total o parcial según los deseos de cada momento o rozándolo en unas y otras áreas erógenas desearás que los relojes se paren, y se pararán.","   • Incluye cable extra largo de 3.5 metros    • Nunca utilizar en la ducha o en la bañera    • Incluye fundita para su guardado    • Longitud total 32,5 cm, peso 350 grms    • cabezal basculante de 6cm   • Certificados CE y RoHS    • Fabricado en TPR y ABS (materiales seguros y sin alérgias)     • 8 programas de vibración independientes    • Cabezal de 5.5cm ",https://www.amantis.net/masaje-sexy-8-programas-potente-masaje-magico-220v/
6,MINI+ de amantis,minimasajeador sumergible con 5 cabezales,"Por fin el clásico mini masajeador que ha dado tantas alegrías por el mundo pero con 5 cabezales intercambiables y... de amantis.Pequeño, pero taaan maravilloso. Su potencia es sobresaliente y su frecuencia de vibración es una de las que más satisfacciones ha provocado en la historia de los juguetes eróticos, así de rotundo es este mini+. Mini+ no puede faltar en tu cajón, en tu bolso o en tu equipaje de mano, su forma es discreta y su tacto rígido, y aunque su potencia va de la mano de su sonoridad, lo único que vas a oír pasado un rato es tu propio cuerpo dándote las gracias por hacerle sentir en la gloria. Sus 5 cabezales te permiten variar el contacto y las sensaciones desde una lisa curva hasta multiples microestimuladores, un abanico de posibilidades para que encuentres la que más te gusta.","   •  Longitud 10 cm, 2.5cm diámetro de contacto    •  Fabricado en PE rígido, sin falatos, bueno con tu cuerpo    •  Limpialo bien antes y después de usarlo    •  Guárdalo siempre con la pila fuera    •  Certificado CE    •  Usa una pila AA no incluida    •  La bateria llevará el + hacia arriba para funcionar  ",https://www.amantis.net/mini-amantis-minimasajeador-sumergible-5-cabezales/
7,MINI MASSAJI,masajeador corporal portátil super potente,"Está clarísimo que el masaje por vibración aporta múltiples beneficios para la salud mental y física… ¡Y que es una técnica milenaria que se lleva usando desde antes de la aparición de la Minipimer!MINI MASSAJI de AMANTIS es la opción más cómoda, potente, compacta y portátil para aquellas personas enamoradas de otros masajeadores externos, como nuestros queridos MASSAJI y MASAJE-SEXY PRO, que desean ampliar su colección con un dispositivo tan pequeño como intenso y contundente.Di adiós a los días en los que el estrés te encorva los hombros porque con este pequeño pero potentísimo aliado podrás: relajar cada uno de tus músculos, sexplorar cada centímetro de tu cuerpo y estimular tus zonas más erógenas sin preocuparte por grandes vibradores más aparatosos.Un solo botón dará luz verde a tu momento de relax absoluto. Así de fácil.Redescubre el masajeador japonés en tamaño portátil y lleva el placer contigo a cualquier lugar… Sólo tendrás que elegir cuándo usarlo.","Medidas: 11cm de largo y 4 cm de ancho.Material: Silicona médica + ABS.Vibración: 10 modos.Recargable (cable USB incluido). Tiempo de carga: 3h. Tiempo de uso continuado: 1h.Salpicable IPX4.Color: Negro.Limpieza y conservación: Recordamos que el uso de lubricante es aconsejable para cualquier actividad sexual (siempre con base de agua al utilizar juguetes de silicona). No olvides lavar tus juguetes antes y después de cada uso, con agua y jabón neutro o un limpiador específico de acción desinfectante y bactericida, como nuestro spray limpiador Limpín. Todos los juguetes deben estar separados entre sí, en un lugar fresco y seco; para ello puedes utilizar la bolsa de satén incluida o una de nuestras bolsas de terciopelo en diferentes tamaños. ",https://www.amantis.net/mini-massaji-masajeador-corporal-portatil-super-potente/
8,PURE WAND,Sofisticada varita vibradora de metal dorada,"Antes muertas que sencillas, antes muertas que quedarnos con ganillas.  ¿Buscabas una bala con clase? ¿Una bala que se adapte a una estética determinada? La belleza es algo que nos excita y nos eleva, siempre tiene una función, y en este caso esta preciosa bala acompañará tus sesiones de sexo más sofisticadas. PURE WAND es una varita mágica de metal de color dorado con nueve patrones de vibración diferentes. Los juguetes de metal son juguetes muy temperamentales y esto permitirá un interminable juego de contrastes. Puedes meterlo en la nevera o en el congelador o meterlo en agua caliente, y en esta fiesta de grados y contrastes, verás cómo viajas muy, muy lejos. Señoritas, después de una elegante cena en un buen restaurante con un buen vino y unas buenas galas lenceras, no te quedará otra que acompañar a tus orgamos con un juguete erótico de lo más exquisito y refinado como PURE. Imagina esta varita subiendo por tu muslo adornado con una bonita lencería amantis como Tapatoru o Sutyen, unas fresas con cava y una buena película erótica de fondo con la misma estética. ¿Preparada para montarte tu propia película de erotismo sofisticado?","Varita  Metálica vibradora1,85 cm de diámetro, 11,5 cm de largo60 min de uso por carga completaExtremadamente potente (3.7V)9 modos de vibraciónSumergible IPX7Recargable (cargador USB incluido)Fabricado en ABS + Metal + Silicona MédicaSin Ftalatos ",https://www.amantis.net/pure-wand-varita-vibradora-metal-dorada/
9,MAX WAND el masajeador sexual más grande y poderoso,,"Que te duela algo ya no es excusa para no tener sexo… ¡incluso puede ser un aliciente! Este masajeador sirve tanto para un roto como para un descosido, es decir, que puede destensar tus cervicales o excitar todo tu cuerpo hasta llegar al orgasmo.MAX WAND es un masajeador de gran formato y, a diferencia de otros modelos, es salpicable y autónomo (no necesitas mantenerlo enchufado a la corriente mientras lo utilizas). Recárgalo, aplícale unas gotas de lubricante de base acuosa y deslízalo por todo tu cuerpo o el de tu pareja para descubrir todo lo que tiene preparado para ti.Tu masajista incansable está fabricado de silicona médica y, en la parte del mango ergonómico, de ABS libre de flatatos. Dispone de 7 patrones de vibración diferentes y 4 niveles de intensidad, para que los combines como más te guste. Así que, ya lo sabes, relájate o excítate, pero hazlo en compañía de tu MAX WAND.","Masajeador de silicona médica y ABS libre de flatatos7 patrones de vibración diferentes & 4 niveles de intensidadCuello flexibleDimensiones: 28,3 cm de longitud total / 6,5 cm de diámetro del cabezalSalpicableCon batería recargable (cargador incluido)Colores: fucsia o negroPeso: 540 gDebe utilizarse con lubricantes de base acuosaGuardar en una bolsa de tela transpirable, alejado de la luz solar directa y de manera individual. Los juguetes sexuales no deben almacenarse nunca en contacto con otros. ",https://www.amantis.net/max-wand-el-masajeador-sexual-mas-grande-poderoso/
