,ID,DATE,RATIO,USERS,COMMENT
0,0,"jueves 29 febrero, 2024",5,Ana Vanessa,"Es una pasada, es pequeñito pero tiene mucha potencia, lo q no me gusta mucho es q se oye mucho ruido pero creo q es normal por la potencia q tiene el vibrador, estoy contenta de haberlo adquirido, no me ha decepcionado al revés me ha sorprendido."
1,0,"sábado 21 octubre, 2023",5,ana maria,muy práctico por su pequeño tamaño. vibración perfecta y material muy suave.
2,0,"domingo 01 octubre, 2023",5,Paula,"Es pequeño pero útil, da mucho juego y la pila dura bastante, aunque solo tenga una potencia se ajusta a lo que buscas"
3,0,"martes 12 septiembre, 2023",4,FCO JAVIER,"Magnifica bala, es muy potente y da mucho juego. Nos ha encantado a ambos."
4,0,"martes 22 agosto, 2023",5,Daria,Pequeño y potente. Se puede combinar con otros juguetes. El tamaño se adapta a poder llevarlo siempre en el bolsillo para tenerlo listo para la ocasión.
5,0,"martes 28 febrero, 2023",5,esther,Pequeño y potente. Se puede combinar con otros juguetes como arneses con espacio incorporado para balas vibradoras.
6,0,"miércoles 23 noviembre, 2022",4,Lucía,Lo compre hace poco y la verdad que me ha sorprendido la potencia que tiene y su tamaño es muy práctico para llevar a cualquier lado y es facil de lavado .Sus colores son muy bonitos . Para empezar a tener contacto con juguetes está muy bien.
7,0,"domingo 06 noviembre, 2022",5,Diego,"Muy buen producto, super potente y la pila tiene mucha duración. El tamaño se adapta a poder llevarlo siempre en el bolsillo para tenerlo listo para la ocasión. De los mejores productos y mas teniendo en cuenta su bajo precio"
8,0,"jueves 21 julio, 2022",5,Virginia,Pequeño y discreto pero muy potente. Para juegos de caricias y estimulación es perfecto. Se limpia muy bien y la pila aguanta muchos usos
9,0,"viernes 01 julio, 2022",5,Paula,"Tamaño perfecto, vibra bastante, no suena casi nada, muy suave.rnMuy buen producto."
10,0,"martes 14 junio, 2022",5,Yaiza,Recomendadisimo. Es ultra suave y al ser tan pequeño es perfecto para transportar y fácil de manejar. Es potente para el tamaño que tiene. Perfecto para empezar o para jugar
11,0,"miércoles 18 mayo, 2022",5,Carmen,"Está muy bien tanto para usarlo solo como en compañía. Además, los colores son súper bonitos. A ver si un día completo la colección ;)"
12,0,"miércoles 24 noviembre, 2021",5,Celia,"Esta bala es una maravilla! Es pequeño, muy cómodo y muy potente. Sorprende la primera vez que lo enciendes al ver que algo tan pequeño tiene tanta intensidad en su único modo de vibración. Si tu pareja es hombre, funciona de lujo para estimular los testículos y el periné mientras estás a otras cosas... Ya sabes ;) rnMuy recomendado"
13,0,"viernes 27 agosto, 2021",5,Lucía,Bastante potente para lo pequeño que es. Muy suave al tacto. Lo recomiendo. Muy buena compra
14,0,"martes 17 agosto, 2021",5,Yaiza,"Nunca había usado juguetes y hace poco que empecé con ellos. Compré algunas cositas y he de decir que este que me parecía q no seria de los más potentes, es poderoso!! Aluciné con el, y con el juego que da tanto antes, como durante! Sin duda este pequeño aparato, me ha abierto a un mundo nuevo y mucho mas divertido jajajj"
15,0,"sábado 14 agosto, 2021",3,Jesús,Pequeño y poco matón si estás acostumbrado a otros productos de vibración. Para empezar a jugar y precalentar puede ser interesante.
16,0,"sábado 24 julio, 2021",5,Carla,Muy bueno! Calidad precio muy buena! Es muy suave.rn
17,0,"viernes 16 julio, 2021",5,Inés,"Pequeño pero maton!! rnCompramos dos, para usarlo cada uno con el otro... Mmmmm sensaciones increibles. Un 10!!"
18,0,"miércoles 14 julio, 2021",5,Patricia,"Fue el primer juguete que me compré y me encantó. Para empezar, sobre todo, está muy bien. Es suave al tacto pero bastante potente."
19,0,"sábado 10 julio, 2021",5,Ariana,Increible! Lo mejor que he comprado. Super discretito y muy muy buenornrnPara ser pequeño vibra muchisimo.rnLo recomiendo al 100
20,0,"miércoles 07 julio, 2021",2,rocio,"Llevo con él varios años pero se nota que la calidad de los juegues actuales es mucho mejor, en su momento fué lo que esperaba pero ahora que por ejemplo tengo el tok2 bala vibradora con mando no tiene nada que ver con este…rn"
21,0,"jueves 24 junio, 2021",5,Marts,"¡Me ha encantado! Suave, buena vibración y versátil. Se la he regalado a varias amigas y a todas les ha gustado mucho :)"
22,0,"miércoles 19 mayo, 2021",5,Juanjo,"Simplemente la he puesto en marcha cuando ha llegado para saber qué tal. La verdad tiene potencia la pequeña. La cogí para usarla con algún juguete, tipo manga y demás. A ver si por la forma un poco cónica no se sale."
23,0,"lunes 17 mayo, 2021",4,Amaia,"Pequeño, potente, discreto. Una sola velocidad, pero calidad-precio está muy bien."
24,0,"miércoles 21 abril, 2021",5,Ana,"Lo compré como regalo para una amiga. Al ser su primer vibrador le gustó bastante por la vibración y porque no hace mucho ruido. Además es pequeño y manejable, perfecto para complementar con otras prácticas. Así que lo recomiendo para adentrarte en este mundillo de vibraciones!"
25,0,"lunes 12 abril, 2021",5,German,"Con un tamaño discreto y bastante silencioso. A pesar de venir con una velocidad, es recomendable para iniciarse y da mucho mucho juego. Ideal no solo por tamaño, sino por lo matón que es. rnImportante, las pilas que necesita es recomendable comprarlas en la web de amantis, es donde más merece la pena a nivel de precio."
26,0,"jueves 25 febrero, 2021",5,Iván,"Fue un regalo para mi novia y le encantó, ya teniamos una bala antes que se nos estropeó pero esta le ha gustado tanto que ya ha superado a la otra"
27,0,"martes 09 febrero, 2021",4,Amaia,"Vibrador parecido a una bala, muy pequeñito y discreto. No hace demasiado ruido, funciona con pilas. Una velocidad."
28,0,"lunes 14 diciembre, 2020",4,Inés,"El primero que me compré, sin duda da mucho juego."
29,0,"domingo 08 noviembre, 2020",5,Alejandro,"Genial, es pequeñito y se puede guardar en cualquier sitio así que ideal por si te apetece llevarlo por ahí, tiene una vibración bastante potente para lo pequeño que es."
30,0,"jueves 17 septiembre, 2020",5,Alejandro,"Fué de nuestros primeros juguetes, y la verdad que de lo mejorcito para mi chica, supercontenta con ello."
31,0,"martes 08 septiembre, 2020",4,Laura,"Tiene una vibración bastante potente.aunque no tenga más que un método de vibración, cumple súper bien con su cometido.Lo malo es que las pilas son muy complicadas de encontrar.De tacto suave y muy cómodo para usar durante las relaciones sexuales."
32,0,"miércoles 03 junio, 2020",5,Maria,"Convencí a mis amigas en iniciarse durante el confinamiento en el mundo de los juguetes con el TOK. Les encantó! Están super contentas, y ya están pensando en volver por Amantis para seguir comprando"
