Unnamed: 0,ID,DATE,RATIO,ID_USERS,COMMENT
0,36,2023-12-15,5,42,Fantastico!!Tacto muy suave y real tanto en penetracion como en cunilingus.
1,36,2023-09-08,5,53,"Es muy recomendable. Tiene dos texturas distintas. Para mi es más un juguete y lo uso en pareja, pero divertido y la verdad bien utilizado proporciona un placer del buenol"
2,36,2023-09-04,4,48,"Está bien para el precio que tiene de oferta, fácil de limpiar y con suficiente longitud de penetración. He probado otros mejores aunque este no está nada mal."
3,36,2023-08-23,5,602,"Brutal, poco más que decir… en relación calidad/precio maravilloso, tenia otros de satisfayer y no es lo mismo, este es otro nivel.Muy aconsejable, para usar solo, que lo utilicen contigo… búscate la vida y pon imaginación, por que esto es una maravilla."
4,36,2023-07-14,4,92,"Aparte de que las sensaciones son muy buenas mientras te masturbas, el efecto visual de esos labios carnosos deslizandose por mi glande, succionando... bufffff, eso si es efectivo, que es como cuando mi chica me la chupa... Y luego le das la vuelta y... se la clavas como a ella le gusta....Perfecto para esas noches que no puedo estar con ella..."
8,59,2024-01-02,5,24,"Totalmente recomendable para cualquier tipo de condición sexual, tiene un tamaño adecuado para cumplir su misión y la cantidad de modos de vibración hace que seguro que te hagan disfrutar. Bien introducido y con suficiente lubricante hace que se quede sujeto y se siente muy bien.Estar abierto a estos placeres hará que lleves a otro nivel tu satisfacción sexual.Ideal para jugar solo o acompañado."
9,59,2023-10-08,5,604,"Tiempo despues de haberlo comprado vuelvo para decir que corrijo mi anterior critica y es un 5, solo hay que introducirlo suficinetemente dentro para que no se salga, pues su forma ergonomica se encarga de que esto sea asi, es excelente y la sensación es increible. Lo recomiendo altamente."
10,59,2023-09-17,1,135,"Yo he comprado este tipo de estimulador prostatic de vuestra tienda y la verdad es que para mi como principiante lo veo demasiado grueso y no me siento cómodo de nada,para un hetero no es recomendable teniendo en cuenta mi experiencia. He probado y es muy grueso para uno que no practica nada anal.Yo no lo recomiendo a un hetero,los de la tienda no te aconseja nada bien,les interesa vender y luego tu si no te vale pues dinero tirado.Para un hetero NO VALE ese aparato."
11,59,2023-09-17,4,605,"muy placentero, y divrtido para juegos de pareja. la unica pega es que segun que posturas tiende a salirse, he probado algunos con anilla para el pene y los hacian mas estables.Por lo demas genial."
20,3,2024-01-14,5,13,Puffffff.... es un conjunto de sensaciones q te llevan a un orgasmo de lo mas profundo y maravilloso.El Squirting es sensacional y alucinante.
21,3,2023-09-15,5,71,"Waaaaauuuuu! Le doy un diez a este superpoderoso. Un placer envolvente, un orgasmo sin igual. ¡Lo amo!"
23,253,2023-12-19,5,608,"Lo que más me gusta es que tiene varias funciones es todo en uno. Es succionador, es vibrador y se mueve!. Tiene varias frecuencias de vibración. Es un producto muy completo"
24,162,2024-01-11,5,609,"Anteriormente había probado el de melocotón y me gustó bastante pero ahora he comprado el de cereza y me gusta mucho más el sabor. Además, quizás es impresión mía, pero noto más calor y vibración con este último."
25,162,2024-01-03,5,63,Me ha gustado mucho este gel. Me ha sorprendido su efecto y sensación.
