Unnamed: 0,ID,DATE,RATIO,ID_USERS,COMMENT
86859,3180,2024-04-25,5,1112,"Después de probarlo la batería del juguete no cargo más y no funcionaba. Lo comenté a Amantis y en tres días, estaba en garantía, ya recibí un juguete de sustitución, un 10 para la logística de esta empresa."
87447,155,2024-04-21,5,20,"Es algo necesario para limpieza en relación al sexo anal y como este mismo ya es suficiente, recomendado por la propia dependienta de la tienda."
88314,47,2024-04-23,5,1967,"La verdad que engancha bastante,además es divertido para jugar y disfrutar con tu pareja.Inconveniente? Pues que te corres rápido"
88540,15,2024-04-21,4,20,"Es un primer juguete adquirido y recomendado por la dependienta de la tienda física, tal y como leí y ella me explicó, si ella no tiene unos buenos músculos vaginales/pélvicos es probable que no aguante y sea necesario el uso del arnés que ella me recomnedó."
89193,1,2024-04-26,5,18693,"Es un aparato muy funcional ,lo he usado para masajear todo el cuerpo, tiene buena potencia y estimula de una forma muy agradable.Como juguete muy divertido y placentero.Recomendado!He comprobado que la Duración de la batería máxima potencia es 1h"
89194,1,2024-04-25,5,18694,"Un juguete muy funcional con el que jugar masajear, relajar y disfrutar con distintos niveles y ritmos.Genial para usar como masajeador, en pareja o individual."
89629,1725,2024-04-24,5,18756,"Muy buenas sensaciones y texturas. Peso proporcionado y volúmenes que permiten pasarlo muy bien, sólo, en pareja o más allá. La recomiendo."
89849,135,2024-04-21,5,20,Este arnés me lo recomendó la dependienta de la tienda para el uso del Tandem2 y sinceramente lo veo muy elegante e ideal.
91032,97,2024-04-24,4,255,"Hooola, a la vista es realista, bueno tamaño, superior a la media"
91347,2812,2024-04-25,5,18965,"Bueno bueno, mi mujer esta alucinando con él, dice que nunca habia sentido nada como esto !! Muy muy recomendable"
91456,2163,2024-04-23,5,56,"Es grande, sobre todo en longitud, y con una flexibilidad interesante para muchas posturas. Lo menos bueno es que es más gordo por la punta que por la base, pero la verdad es que es de lo mejor que tenemos. Esos si, no es para todos los días, sinonparanesosnen los que el juego previo ha sido intenso y la cosa se ha dilatado de sobra..."
91947,23,2024-04-19,5,899,"He de confesar que tenía mis dudas al comprarlo pero después de probarlo ( 2 veces) ha sido impresionante, creo que es el mejor producto que he comprado en Amantis y he comprado muchos en las tiendas físicas. Gran producto con un placer muy intenso y con posibilidad de elegir las velocidades, por supuesto como siempre usando el lubricante Desliz que es una maravilla, también os recomendaría lubricante de base de agua desliz pero de Aloe vera, es muy bueno."
