ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
7069,21,99.99,49.99,24/06/14
7070,606,99.99,54.99,24/06/14
7071,542,69.99,39.99,24/06/14
7073,22,69.99,39.99,24/06/14
7074,1201,69.99,29.99,24/06/14
7075,3110,19.99,9.99,24/06/14
7076,82,19.99,7.99,24/06/14
7077,33,44.99,29.99,24/06/14
7078,46,44.99,29.99,24/06/14
7079,60,39.99,14.99,24/06/14
7083,157,34.99,7.99,24/06/14
7085,26,69.99,44.99,24/06/14
7086,435,19.99,8.99,24/06/14
7087,89,69.99,29.99,24/06/14
7088,47,19.99,9.99,24/06/14
7089,96,19.99,8.99,24/06/14
7090,1725,299.99,99.99,24/06/14
7091,273,49.99,29.99,24/06/14
7092,352,29.99,9.99,24/06/14
7093,108,24.99,15.99,24/06/14
7094,633,14.99,6.99,24/06/14
7095,348,11.99,4.99,24/06/14
7096,2226,29.99,12.99,24/06/14
7097,15,109.99,54.99,24/06/14
7098,4692,49.99,34.99,24/06/14
7099,674,99.99,49.99,24/06/14
7100,353,99.99,29.99,24/06/14
7102,3343,49.99,24.99,24/06/14
7104,2743,79.99,49.99,24/06/14
7105,3185,59.99,34.99,24/06/14
7106,2742,69.99,59.99,24/06/14
7108,155,19.99,7.99,24/06/14
7110,20,59.99,17.99,24/06/14
7111,27,29.99,11.99,24/06/14
7112,2923,19.99,6.99,24/06/14
7113,4727,29.99,11.99,24/06/14
7114,136,24.99,9.99,24/06/14
7117,520,44.99,19.99,24/06/14
7118,375,99.99,49.99,24/06/14
7119,206,24.99,19.99,24/06/14
7120,28,59.99,29.99,24/06/14
7121,1674,49.99,29.99,24/06/14
7122,59,19.99,7.99,24/06/14
7123,1763,34.99,9.99,24/06/14
7124,652,49.99,24.99,24/06/14
7125,1213,19.99,6.99,24/06/14
7126,4306,59.99,39.99,24/06/14
7128,688,59.99,19.99,24/06/14
7129,3468,119.99,54.99,24/06/14
7130,63,39.99,19.99,24/06/14
7131,354,109.99,39.99,24/06/14
7132,35,99.99,49.99,24/06/14
7133,113,64.99,39.99,24/06/14
7134,164,69.99,34.99,24/06/14
7135,41,99.99,89.99,24/06/14
7136,37,99.99,49.99,24/06/14
7137,4238,69.99,59.99,24/06/14
7138,4355,24.99,9.99,24/06/14
7139,3401,29.99,14.99,24/06/14
7140,3186,99.99,54.99,24/06/14
7141,70,19.99,12.99,24/06/14
7144,828,39.99,17.99,24/06/14
