ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,19.99,9.99,24/03/01
1,1,59.99,39.99,24/03/01
2,2,89.99,39.99,24/03/01
3,3,69.99,29.99,24/03/01
4,4,99.99,54.99,24/03/01
5,5,59.99,54.99,24/03/01
6,6,119.99,49.99,24/03/01
7,7,34.99,7.99,24/03/01
8,8,29.99,9.99,24/03/01
9,9,19.99,7.99,24/03/01
10,10,59.99,17.99,24/03/01
12,12,29.99,11.99,24/03/01
13,13,24.99,9.99,24/03/01
14,14,24.99,7.99,24/03/01
15,15,39.99,14.99,24/03/01
16,16,69.99,44.99,24/03/01
17,17,29.99,24.99,24/03/01
18,18,59.99,39.99,24/03/01
19,19,19.99,9.99,24/03/01
20,20,19.99,8.99,24/03/01
21,21,49.99,29.99,24/03/01
22,22,19.99,6.99,24/03/01
23,23,14.99,6.99,24/03/01
24,24,9.99,2.99,24/03/01
25,25,24.99,15.99,24/03/01
26,26,34.99,9.99,24/03/01
27,27,99.99,49.99,24/03/01
28,28,29.99,17.99,24/03/01
29,29,109.99,54.99,24/03/01
30,30,39.99,19.99,24/03/01
31,31,99.99,49.99,24/03/01
33,33,89.99,44.99,24/03/01
34,34,69.99,49.99,24/03/01
35,35,79.99,49.99,24/03/01
36,36,99.99,54.99,24/03/01
37,37,69.99,59.99,24/03/01
39,39,24.99,12.99,24/03/01
40,40,54.99,14.99,24/03/01
42,42,29.99,11.99,24/03/01
43,43,19.99,6.99,24/03/01
44,44,39.99,9.99,24/03/01
45,45,39.99,17.99,24/03/01
46,46,19.99,8.99,24/03/01
47,47,29.99,17.99,24/03/01
48,48,19.99,7.99,24/03/01
49,49,69.99,39.99,24/03/01
50,50,59.99,29.99,24/03/01
51,51,299.99,99.99,24/03/01
52,52,14.99,4.99,24/03/01
53,53,49.99,29.99,24/03/01
54,54,11.99,4.99,24/03/01
55,55,49.99,24.99,24/03/01
56,56,11.99,6.99,24/03/01
57,57,15.99,5.99,24/03/01
58,58,39.99,19.99,24/03/01
59,59,29.99,12.99,24/03/01
60,60,39.99,13.99,24/03/01
61,61,29.99,12.99,24/03/01
63,63,99.99,64.99,24/03/01
65,65,79.99,64.99,24/03/01
66,66,19.99,9.99,24/03/01
67,67,99.99,69.99,24/03/01
68,68,59.99,49.99,24/03/01
69,69,69.99,34.99,24/03/01
71,71,14.99,5.99,24/03/01
74,74,19.99,8.99,24/03/01
75,75,29.99,9.99,24/03/01
76,76,22.99,14.99,24/03/01
77,77,29.99,14.99,24/03/01
78,78,44.99,19.99,24/03/01
79,79,19.99,7.99,24/03/01
80,80,44.99,22.99,24/03/01
81,81,11.99,7.99,24/03/01
82,82,69.99,23.99,24/03/01
83,83,49.99,19.99,24/03/01
84,84,19.99,14.99,24/03/01
85,85,19.99,6.99,24/03/01
86,86,19.99,7.99,24/03/01
88,88,59.99,39.99,24/03/01
89,89,49.99,24.99,24/03/01
90,90,49.99,23.99,24/03/01
91,91,39.99,13.99,24/03/01
92,92,39.99,19.99,24/03/01
94,94,59.99,34.99,24/03/01
95,95,64.99,39.99,24/03/01
96,96,129.99,79.99,24/03/01
97,97,24.99,13.99,24/03/01
98,98,44.99,29.99,24/03/01
99,99,79.99,59.99,24/03/01
100,100,24.99,12.99,24/03/01
101,101,24.99,16.99,24/03/01
103,103,19.99,12.99,24/03/01
104,104,44.99,34.99,24/03/01
105,105,19.99,9.99,24/03/01
106,106,24.99,9.99,24/03/01
107,107,29.99,14.99,24/03/01
108,108,29.99,18.99,24/03/01
109,109,99.99,49.99,24/03/01
110,110,54.99,49.99,24/03/01
111,111,119.99,69.99,24/03/01
112,112,24.99,19.99,24/03/01
113,113,13.99,8.99,24/03/01
114,114,99.99,89.99,24/03/01
115,115,59.99,27.99,24/03/01
116,116,14.99,2.99,24/03/01
117,117,11.99,3.99,24/03/01
118,118,29.99,11.99,24/03/01
119,119,29.99,14.99,24/03/01
120,120,69.99,34.99,24/03/01
121,121,29.99,14.99,24/03/01
122,122,79.99,36.99,24/03/01
123,123,59.99,29.99,24/03/01
126,126,119.99,59.99,24/03/01
127,127,119.99,69.99,24/03/01
129,129,54.99,54.99,24/03/01
130,130,64.99,64.99,24/03/01
132,132,49.99,34.99,24/03/01
133,133,69.99,29.99,24/03/01
135,135,19.99,12.99,24/03/01
138,138,49.99,19.99,24/03/01
140,140,59.99,44.99,24/03/01
141,141,69.99,34.99,24/03/01
142,142,159.99,149.99,24/03/01
143,143,59.99,22.99,24/03/01
147,147,99.99,74.99,24/03/01
148,148,49.99,39.99,24/03/01
149,149,69.99,44.99,24/03/01
152,152,129.99,64.99,24/03/01
153,153,89.99,44.99,24/03/01
154,154,49.99,24.99,24/03/01
156,156,79.99,39.99,24/03/01
158,158,39.99,49.99,24/03/01
159,159,49.99,49.99,24/03/01
160,160,39.99,39.99,24/03/01
161,161,39.99,39.99,24/03/01
162,162,49.99,19.99,24/03/01
164,164,59.99,29.99,24/03/01
165,165,24.99,13.99,24/03/01
167,167,34.99,14.99,24/03/01
169,169,39.99,24.99,24/03/01
170,170,34.99,34.99,24/03/01
