,ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE,FECHA
0,0,0,99.99,54.99,24/04/26
1,1,1,19.99,9.99,24/04/26
2,2,2,89.99,36.99,24/04/26
3,3,3,69.99,29.99,24/04/26
4,4,4,99.99,54.99,24/04/26
5,5,5,69.99,49.99,24/04/26
6,6,6,59.99,54.99,24/04/26
7,7,7,39.99,14.99,24/04/26
8,8,8,19.99,7.99,24/04/26
9,9,9,54.99,14.99,24/04/26
11,11,11,34.99,7.99,24/04/26
12,12,12,29.99,11.99,24/04/26
13,13,13,29.99,11.99,24/04/26
14,14,14,24.99,9.99,24/04/26
16,16,16,69.99,44.99,24/04/26
17,17,17,59.99,39.99,24/04/26
18,18,18,29.99,14.99,24/04/26
19,19,19,19.99,9.99,24/04/26
20,20,20,19.99,7.99,24/04/26
21,21,21,59.99,29.99,24/04/26
22,22,22,299.99,99.99,24/04/26
23,23,23,14.99,6.99,24/04/26
24,24,24,24.99,15.99,24/04/26
25,25,25,11.99,4.99,24/04/26
26,26,26,49.99,24.99,24/04/26
27,27,27,29.99,12.99,24/04/26
28,28,28,29.99,12.99,24/04/26
29,29,29,109.99,54.99,24/04/26
30,30,30,39.99,19.99,24/04/26
33,33,33,89.99,39.99,24/04/26
34,34,34,19.99,9.99,24/04/26
35,35,35,119.99,49.99,24/04/26
36,36,36,69.99,59.99,24/04/26
37,37,37,69.99,34.99,24/04/26
39,39,39,24.99,12.99,24/04/26
40,40,40,29.99,14.99,24/04/26
42,42,42,19.99,6.99,24/04/26
43,43,43,39.99,17.99,24/04/26
44,44,44,24.99,7.99,24/04/26
45,45,45,19.99,7.99,24/04/26
46,46,46,19.99,8.99,24/04/26
47,47,47,44.99,19.99,24/04/26
48,48,48,29.99,24.99,24/04/26
49,49,49,69.99,39.99,24/04/26
50,50,50,19.99,8.99,24/04/26
51,51,51,49.99,19.99,24/04/26
53,53,53,49.99,29.99,24/04/26
54,54,54,15.99,5.99,24/04/26
55,55,55,34.99,9.99,24/04/26
56,56,56,19.99,6.99,24/04/26
57,57,57,19.99,7.99,24/04/26
58,58,58,29.99,17.99,24/04/26
59,59,59,49.99,24.99,24/04/26
60,60,60,119.99,54.99,24/04/26
61,61,61,39.99,19.99,24/04/26
62,62,62,99.99,49.99,24/04/26
63,63,63,16.99,5.99,24/04/26
65,65,65,59.99,34.99,24/04/26
66,66,66,99.99,89.99,24/04/26
67,67,67,129.99,79.99,24/04/26
68,68,68,79.99,49.99,24/04/26
69,69,69,19.99,12.99,24/04/26
70,70,70,59.99,17.99,24/04/26
71,71,71,99.99,54.99,24/04/26
73,73,73,49.99,29.99,24/04/26
74,74,74,39.99,9.99,24/04/26
75,75,75,19.99,9.99,24/04/26
76,76,76,59.99,29.99,24/04/26
77,77,77,69.99,29.99,24/04/26
78,78,78,19.99,7.99,24/04/26
79,79,79,19.99,7.99,24/04/26
80,80,80,29.99,18.99,24/04/26
81,81,81,99.99,39.99,24/04/26
82,82,82,59.99,27.99,24/04/26
83,83,83,24.99,19.99,24/04/26
84,84,84,14.99,4.99,24/04/26
85,85,85,29.99,11.99,24/04/26
86,86,86,29.99,14.99,24/04/26
87,87,87,11.99,3.99,24/04/26
88,88,88,22.99,14.99,24/04/26
89,89,89,29.99,14.99,24/04/26
90,90,90,69.99,34.99,24/04/26
91,91,91,49.99,23.99,24/04/26
92,92,92,49.99,23.99,24/04/26
95,95,95,64.99,39.99,24/04/26
96,96,96,79.99,54.99,24/04/26
97,97,97,19.99,9.99,24/04/26
98,98,98,44.99,29.99,24/04/26
99,99,99,99.99,49.99,24/04/26
100,100,100,14.99,5.99,24/04/26
