ID_,PRODUCT_,SLOGAN_,DESCRIPTION_,CHARACTERISTICS_,URL,ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,LISTA_URL,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
,,,,,,253,KAWAI,vibrador esponjoso con succionador,"la llamada a la accion, la llama que te enciende la llama que llevas dentro, o por la dulzura de su aspecto o por lo blandita y suave que es.es lo mas cuqui que podremos tener en las manos, kawai se salta todos los topicos y se aleja de asociaciones visuales mas genitalescas. lo mono y lo blando tambien puede ser erotico, algo con orejitas y ojitos, algo con forma de llama nos hace sentir que estamos en un espacio seguro para jugar, nos hace entender la sexualidad como algo bueno, como un juego, que es lo que es, en esencia.divertido y blandito, kawai es un juguete mega completo y al mismo tiempo super diferente de todo lo que has visto hasta el momento. la parte mas falica sera la que corresponderia al cuello y la cabeza de la llama, este tubo cilindrico esta hecho de silicona medica biocompatible y con una textura tipo foam, que mantiene ligeramente la huella que dejamos al ejercer presion con nuestros dedos. ademas de vibrar de 10 maneras diferentes, tiene el efecto percutor o una fuerza magnetica de choque automatico, es decir que se mueve de adelante hacia detras, como imitando la penetracion. este movimiento te dara mucho juego tanto para jugar internamente incidiendo directamente en los alrededores de tu punto g, tanto fuera para imitar a un petting rozando de arriba a abajo toda la zona externa de tu vulva.pero esto no acaba aqui, en la base de kawai, tienes un pequeño succionador, y que sea pequeño lo convierte en un gran localizador de puntos erogenos muy pequeños pero llenos de terminaciones nerviosas.","Fuerza magnética de choque automático + vibración + succiónMedidas: 34mm*135mmSalpicable100% silicona + (ABS)Cargador incluidoTotalmente recargable.9 patrones de vibración6 modos de succiónCómo se utiliza el vibrador y succionador KAWAIPese a que KAWAI es un vibrador succionador con triple función, te sorprenderás de su fácil e intuitivo uso y manejo. En la base encontrarás tres botones con los que podrás activar cada función y a su vez con los que podrás ir cambiando tanto de velocidad en la percusión como de intensidad en la vibración y en la succión.KAWAI es un juguete con mucha potencialidad de ser compartido, ya que tiene dos extremos que hacen diferentes cosas de manera simultánea. Las posturas podrán ser infinitas, lo único que tienes que hacer, es coger confianza con este pequeño y lanzarte a recorrer el desierto de las sensaciones. Todo es ponerse a fluir e improvisar con las múltiples posturas que podemos experimentar.No olvides acompañarlo con tu lubricante base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/kawai-vibrador-esponjoso-con-succionador/,False,False,False,False,False,False,True,False
,,,,,,314,HOOP,3 anillos para el pene con diferente elasticidad,"en amantis tenemos todo tipo de accesorios para facilitarnos una vida sexual mas divertida, consciente y saludable.los anillos para el pene tienen diferentes posiciones, y en cada posicion cumple una funcion diferente. las hay de diferentes tamaños y, en esas podemos elegir la que mas se adecue a nuestra anatomia. sin embargo, hoop nos trae otra caracteristica que no es el tamaño en su pack de tres. esta es la dureza, con hoop no has de preocuparte por el tamaño de la anilla sino que tendras tres anillas con diferentes durezas; de mas flexible a mas rigida.las tienes en tres colores, la transparente es completamente elastica y por ello, aprieta menos, la azul es algo intermedio mientras que la negra es bastante rigida. gracias a esta variedad en el mismo pack, podremos elegir que cantidad de presion queremos poner en nuestro pene. la presion ejercera mas o menos la intensidad que queremos conseguir, y asi podremos encontrar la sensacion perfecta.las tres anillas podemos colocarlas tanto en el tronco del pene, como en el glande y encima de los testiculos:si queremos retrasar la eyaculacion y alargar el placer, el sitio donde deberemos colocarla sera encima de los testiculos erotizando tambien esta zona y consiguiendo una mayor sensibilidad.si por el contrario queremos aumentar la sensibilidad podremos colocarla en el glande.si tu objetivo es mantener la ereccion por mas tiempo y acompañar un proceso de disfuncion erectil la anilla nos ayudara si la colocamos en la base del pene. ademas, colocandola en el tronco conseguiremos un engrosamiento del mismo.","Anillos para el penePack de tres unidadesDiferente rango de rigidezMaterial: TPESin ftalatosDiámetro: 3,5 cmSumergibleCómo se utilizan los el anillos para el pene HOOPPara utilizar esta anilla es recomendable esperar a tener una erección y para su fácil inserción es recomendable que utilices algún lubricante de agua como Desliz! Es importante que el anillo se adecue al tamaño de tu pene para que haga su función correctamente y no apriete más de lo debido. ¿Cómo saber si es un tamaño adecuado para mí? Calcula el diámetro de tu pene o del conjunto de tu pene y testículos. Réstale 3 mm para que la anilla quede prieta. La anilla debe presionar pero ¡no apretarte hasta el desmayo! Asegura que una vez colocada te cabe un dedo estirando la goma. Colócala con el pene semierecto y lubricante Úsala máximo 20-25 minutos y no te quedes dormido con ella. ",https://www.amantis.net/hoop-3-anillos-para-el-pene-con-diferente-elasticidad/,False,False,False,False,False,False,True,False
,,,,,,34,COCÓ,body de tirantes con orificio,"en amantis tenemos muchos modelitos erotico festivos con los que podras empoderarte y venirte arriba sin renunciar a la comodidad. es uno de los origenes de excitacion el hecho de sentirse deseada por otra persona y aqui cobra especial importancia con que vestimos nuestros cuerpo.si te encanta como sienta y como tersa tu piel la tela de rejilla pero tu eres un poco mas dulce y no te va tanto el toque kinky… he aqui la seduccion hecha prenda, para ti.nuestro body coco es una pieza unica lencera que se adherira a tu cuerpo como si de un tatuaje se tratara. es una pieza hiper elastica, suave y adaptable a tu cuerpo como el tejido de rejilla pero con un diseño de patron barroco, a rayas y mini florecitas interminables, digno de novela francesa. y si te gusta esta linea, recuerda que tambien disponemos de este modelo en su version medias con liguero rococo.sal con el puesto bajo un vestidazo, elevaras tu look directamente a otra liga y te sentiras diosa del erotismo. de una sola pieza y abertura en la zona genital, te embriagaras de sensualidad y te veras divina al poder dejartelo puesto en todo momento.todos nuestros conjuntos lenceros amanticos son completamente elasticos y se estiran hasta el infinito y mas alla, por lo que se ajustan a todo tipo de dimensiones corporales. puedes elegir entre una talla m o una talla xl.ninguna de estas piezas tienen costuras ni ninguna forma de sujecion, si no que gracias a su material se adaptaran a las curvas que se encuentren acomodandose a ellas sin apretar.","Pieza única; tejido en malla sin cierres ni costuras.Muy suave y elástico, se adapta a ti como una segunda piel.Tanga no incluido.Composición: 94% Nylon, 6% ElastanoTalla: M y XLColor: NegroLimpieza y conservación: Lavar con agua fría y utilizando productos de limpieza suaves o específicos. Consejo: para conservar los productos de rejilla en perfecto estado y sin peligro de enganchones, te recomendamos que te hagas con bolsitas de satén individuales de amantis. ",https://www.amantis.net/coco-body-de-tirantes-con-orificio/,False,False,False,False,False,False,True,False
,,,,,,54,SUMISSE Esposas suaves inmovilizadoras de muñeca,,"en cuanto las tienes en tu mano piensas: que suaves! son una autentica monada! asi que ve preparando el terreno, no podras evitar ajustartelas inmediatamente. los amarres son de tela muy resistente pero con una textura interna de peluche super gustosa. se ajustan firmemente a las muñecas gracias a una hebilla de ajuste por tension y se unen entre si a traves de dos pequeños mosquetones y una robusta cadenita. de color rosa, negro o rojo pasion. un juguete perfecto para regalar, si por ejemplo quieres introducir a tu amante en el mundo del bdsm de una forma suave y tierna pero efectiva. la textura acolchada en su interior tambien es perfecta para no dejar marcas y no asustar a nadie. cuando se las ponga, ya no se las querra quitar.preparate para sorprender con sumisse","· Circunferencia máxima: 19cm · Ancho: 8cm · Longitud de cadena 14cm Nota: Para evitar que la cinta deslice, recuerda pasarla de nuevo por la hebilla en sentido opuesto. ",https://www.amantis.net/sumisse-esposas-suaves-inmovilizadoras-muneca/,False,False,True,False,False,False,True,False
,,,,,,44,Condoneras de amantis,la forma más chula de llevar tus condones,"¿existe una forma chula de proteger tus condones y tenerlos listos para cualquier situacion? las condoneras de amantis son un rotundo ¡si!las condoneras de amantis no solo son una funda bonita para tus condones, son la mejor forma de protegerlos. el roce de las carteras o los pantalones, unido con el calor que se produce, puede provocar que tus preservativos se rompan, y sabemos que llevarlos en el bolso sueltos puede hacer que encontrarlos sea una verdadera odisea. pero con las condoneras de amantis tus aventuras seran de lo mas discretas y seguras.en cada condonera puedes transportar un maximo de 3 condones o 4 monodosis de tu lubricante desliz! preferido, para que tengas a mano todo lo que necesitas para un momento inesperado de pasion.",,https://www.amantis.net/condoneras-by-amantis/,True,False,False,False,False,False,True,False
,,,,,,26,HappyBalls PRO de silicona,bolas chinas de amantis,"🌹 descubre el lujo suave de la silicona medicalas nuevas happyballs pro de silicona de amantis son el upgrade que estabas esperando. imagina la calidad de nuestras bolas chinas mas vendidas pero con un tacto tan suave que te enamoraras al instante.¿por que elegir happyballs pro?🌷 suavidad extraordinariafabricadas con 100% silicona de grado medico, te brindan una suavidad sin parangon para un confort absoluto.💪 mayor fortalezacon un peso total de 102 gramos, ofrecen un entrenamiento de suelo pelvico mas intenso que las versiones anteriores.🌊 a prueba de aguatotalmente sumergibles para aquellos momentos de relax en la bañera.🤫 discrecion totaltan silenciosas que podras llevarlas a tus clases de pilates sin preocupaciones.beneficios intimosprepara el terreno para el amor: utilizalas antes de momentos intimos para una penetracion mas suave y placentera.mejora tu salud intima: con su sistema pasivo de reverberacion interna, ejercitas y fortaleces tu suelo pelvico como una pro.conclusion: tu compañera intima perfecta¿buscas fortalecer tu suelo pelvico y añadir un toque de lujo a tu vida intima? las happyballs pro de silicona de amantis son la eleccion perfecta. desde su tacto suave hasta sus caracteristicas versatiles, estas bolas chinas te ofrecen un mundo de posibilidades placenteras y saludables.🛒 ¡no esperes mas, añade las happyballs pro a tu carrito y transforma tu bienestar intimo hoy!","Longitud Total: 16cm (8cm insertables)Diámetro: 3,8cm por bolaPeso: 102 gramosMaterial: Silicona de calidad médicaCertificaciones: CE, RoHS, FDAColores: Disponibles en 3 colores elegantesCuidado y Mantenimiento🏆 Limpieza Fácil: Límpialas antes y después de cada uso para garantizar una higiene óptima. Gracias a su silicona de alta calidad, el mantenimiento es un juego de niños.Sello de Calidad y Confianza🏆 Producto certificado con sellos de calidad CE, RoHS, FDA, para tu completa tranquilidad.¿Cómo Usarlas?Paseos Placenteros: Lubrícalas, introdúcelas y pasea para fortalecer tus músculos pélvicos.Ejercicios en Cama: Túmbate e intenta mantener las bolas en su lugar para una sesión más intensa. ",https://www.amantis.net/happyballs-pro-de-silicona-bolas-chinas-de-amantis/,False,False,False,False,False,False,True,False
,,,,,,37,DELIRIO,asistente masculino suave y realista,"¿buscas una experiencia mas gratificante y variada en tu vida intima? ¡descubre delirio, tu compañero suave y realista diseñado para brindarte momentos especiales de intimidad, ya sea en solitario o en pareja!"," DestacadasRealismo Sensacional: Disfruta de una sensación suave y realista en el exterior, con una textura interna diseñada para satisfacerte al máximo.Elasticidad Óptima: Su canal se adapta a tu tamaño, proporcionando comodidad y placer personalizado.Exploración Placentera: Descubre los pliegues acanalados que te acariciarán a lo largo de su cavidad, ofreciéndote una experiencia única.Sensación Realista: La textura y las protuberancias en la pared final te sumergirán en una experiencia sin igual.Disfruta de la Diversión PersonalizadaTómate tu tiempo y explora todas las posibilidades que DELIRIO te ofrece. Gira, aprieta y disfruta de una experiencia personalizada que elevará tu placer a nuevas alturas.Mayor Placer con Calor y LubricaciónPara una sensación aún más realista, sumerge DELIRIO en agua tibia y acompaña tu experiencia con nuestros lubricantes a base de agua Desliz. ¡Transforma tu asistente en una experiencia increíblemente real!Recupera la Chispa en Tu Vida Íntima¿Por qué conformarte con lo mismo de siempre? Con DELIRIO, puedes entrenar y disfrutar al máximo. Olvídate de la monotonía y descubre una nueva dimensión de placer.¡No esperes más para experimentar el placer personalizado! Ver características y medidasMaterial 100% seguro y no tóxico (libre de phathalatos)Estructura interna texturizada 3DSúper elástico.No pegajoso13cm de largo y 6cm de ancho100% resistente al agua. Lavar con agua templada jabón neutro o nuestro jabón bactericida Limpín! ",https://www.amantis.net/delirio-asistente-masculino-suave-realista/,False,False,False,False,False,False,True,False
,,,,,,46,SHHHHH,"cinta de 1,5 metros satinada y opaca","el bondage, hoy en dia, es una de las practicas mas extendidas tanto por la comunidad bdsm como por el resto de mortales que buscan experiencias mas atrevidas y picantes que otras practicas mas convencionales. y no nos extraña en absoluto. una simple cinta de suave saten puede ser un complemento perfecto de iniciacion al bondage. su tacto es suave pero firme, la cinta es resistente y extensa… muy extensa, tanto como la cantidad de maneras de disfrutar de ella que encontrareis en vuestras ""perversas"" mentes.si, tiene 1,50 metros de longitud y 7 centimetros de ancho para que me vendes los ojos, siendo completamente opaca para que se me haga imposible adivinar por donde te vas a acercar a mi. es tan larga y suave que tendras cinta de sobra para atarme firmemente las manos, y al ser tan ancha no provocara daño en mi piel. piensa en la cantidad de lugares donde podras atarme, la cantidad de maneras de retenerme en cada encuentro. ademas se presenta en una bonita caja de regalo, para que el juego este lleno de misterio desde el inicio.¿me desatas?"," · Fabricada en satén de color rojo y negro. · Longitud: 1,5 m. · Ancho: 7 cm. · Presentada en una bonita caja de regalo.  ",https://www.amantis.net/shhhhh-cinta-de-1-5-metros-satinada-y-opaca/,False,False,True,False,False,False,True,False
,,,,,,30,PACHA,succionador y vibrador punto g,"como casi todo el mundo sabe, el succionador arraso en el mundo del placer, y tuvo y tiene sus años de gloria. el placer empieza a estar de moda y por eso no paramos de venir con novedades que te haran ir cada vez mas lejos.pacha es un juguete muy completo que abrazara tu vagina y tu vulva acoplandose especialmente bien a tu anatomia. un estimulador por ondas, o succionador como mas comunmente se conoce, y un vibrador ahuevado para introducir en nuestra vagina en el mismo juguete. si no sabes si decidir entre la estimulacion interna o externa, ¿por que no tener las dos a la vez?estos vibradores tienen una silueta suave y forma una curva que se adaptara a nuestra zona pelvica permitiendo una estimulacion doble, tanto en nuestro clitoris como en nuestro punto g. el estimulador de ondas de pacha no es como los demas succionadores, pues su programacion de nueve frecuencias diferentes tiene programas de baja intensidad y algunos que juegan con dejar espacios sin nada. el succionador de pacha pone el foco en alargar la fase de la excitacion previa al orgasmo. es un succionador que por su programacion no sobreestimula el clitoris, sino que respeta sus tiempos y le da una de cal y otra de arena.ademas tiene una asa justo en la parte de la articulacion, y esto es toda una novedad, ya que hace que un juguete que es, aparentemente, de posicion fija, se convierta en un juguete movil con el que podremos jugar a juegos de entrada y salida. tambien nos permitira acomodar el estimulador de ondas en la zona donde queramos de una manera facil y manejable, independientemente de si nuestro clitoris esta mas abajo o mas arriba.otra ventaja que nos ofrece el asa es la posibilidad de retirarlo en los segundos posteriores al orgasmo para evitar cualquier molestia. el asa tambien es un gran aliado de nuestro amantes, pues tendran un grado mas alto de participacion a la hora de jugar con nosotras y nuestros juguetes.recibiras besos tiernos y placenteros en tu clitoris, asi como vibracion en tu interior. se trata de un vibrador punto g con el que podras elegir entre 9 patrones de vibracion en la zona del dildo y disfrutar de la estimulacion interna y externa a la vez, que es toda una delicia. el hecho de que podamos estimularnos por ambas zonas al mismo tiempo hara que tengamos un orgasmo interconectado y sera mucho mas intenso.los orgasmos intensos no solo nos interesan por el placer en si, que tambien, sino porque hacen que los beneficios de los mismos se potencien, asi pues, tendremos la piel mas brillante, estaremos de mejor humor, disminuimos el estres y favorecemos el sueño.","Vibrador con succión sónicaMedidas: 13 cm largo, 3.5 cm anchoMateriales: Silicona de grado médico + ABS2 horas de uso continuado120 minutos para una carga completa9 modos de vibración9 modos de succiónSumergible IPX7Recargable (cargador USB incluido)SilenciosoCómo se usa PACHA, vibrador succionador Punto G.Puedes empezar utilizando la vibración para poder activar el circuito de placer; con la misma vibración podrás despertar al cuerpo y avisarle que se prepare para recibir placer.Para comenzar con la estimulación doble, te recomendamos que introduzcas primero el dildo en tu vagina y luego acomodes la parte del clítoris. No todas tenemos el clítoris en el mismo sitio, así que tómate el tiempo que necesites para hacerlo coincidir y usa el asa para poder acomodarlo lo mejor que puedas. ¡No tengas prisa!Ya sea porque has probado los succionadores de clítoris y quieres nuevas sensaciones, o porque te quieres lanzar a la piscina, has de saber que estas funciones son independientes. Poniendo al revés este juguete, podremos usar solo la parte del succionador y combinarlo con una penetración en pareja.No olvides acompañarlo con tu lubricante a base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/pacha-succionador-y-vibrador-punto-g/,False,False,False,True,False,True,True,False
,,,,,,9,LIBBO,anillo vibrador para dedo,"¿quieres darle un nuevo toque a tus relaciones sexuales metiendo algun juguete sexual pero no sabes por donde empezar? despierta nuevas sensaciones y fortalece la conexion intima gracias a libbo, nuestro anillo vibrador para dedo diseñado para preliminares.libbo es suave, maleable y ajustable, proporcionando comodidad y sensaciones intensas para ambos. colocado en el dedo, este anillo vibrador intensifica las caricias sensuales y estimula las zonas erogenas, llevando a ambos a un nuevo nivel de excitacion y placer. este accesorio sencillo y flexible es perfecto para explorar y descubrir nuevas formas de estimulacion mutua, utilizalo a tu conveniencia. sus vibraciones poderosas y discretas haran que cada caricia se convierta en un momento orgasmico y memorable. libbo ha sido creado pensando en la diversion y el disfrute compartido, y por eso tambien es muy asequible. queremos que todas las parejas puedan disfrutar de momentos intimos inolvidables sin preocuparse por el precio.  sumergete en un mundo de pasion y complicidad con libbo, el anillo vibrador para dedo que transformara tus juegos preliminares en una experiencia emocionante y llena de placer para ambos. libbo: descubre el placer compartido, intensifica la conexion.","Medidas: 4cm x 1,5cm x 2cmMaterial: silicona médica + absUna pila LR754 (incluida)Color: Azul y morado ",https://www.amantis.net/libbo-anillo-vibrador-para-dedo/,False,False,False,False,False,True,True,False
