ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
0,Desliz! Lubricante íntimo de agua 100ml,True,False,False,True,False,False,False,False
1,FOXTAIL,True,True,False,False,False,True,False,False
2,LIZO 2,False,False,True,True,False,True,False,False
3,Bacanal FORTE TARRO 200ml,True,True,False,False,False,False,False,False
4,Vibrador Líquido con sabor Desliz! VIBRAGEL 30ml,False,False,False,False,False,True,False,False
5,VINTAGE,False,False,False,False,False,True,False,False
6,TOBOGANE HOT RABBIT,False,False,False,True,False,True,False,False
7,CRISTALINO XL,True,True,True,True,False,True,False,False
8,FLOGGY,False,False,True,False,False,False,False,False
9,TOBOGANE,False,True,False,False,False,False,False,False
10,COCÓ,False,False,False,False,False,False,True,False
11,EISSELY,False,False,False,False,False,False,True,False
12,INLUB,True,False,False,False,False,True,False,False
13,CAMILLE,False,False,False,False,False,False,True,False
14,TOK anal 10,False,True,False,False,False,True,False,False
15,YOLA,True,False,False,False,True,False,False,False
16,BUTTERFLY,False,False,False,False,False,False,True,False
17,DULCE TORMENTO,False,False,False,False,False,False,False,False
18,MAGIC CUP,False,False,False,False,False,True,False,False
19,BALLENATO,False,False,False,True,False,True,False,False
20,Vibrador Líquido con sabor Desliz! VIBRAGEL 10ml,False,False,False,False,False,True,False,False
21,SUTYEN,False,False,False,False,False,False,True,False
22,FRESH GIRL,False,False,False,True,False,True,False,False
23,RABBIT,True,True,False,True,False,True,False,False
24,PASSION CUP,True,False,False,False,True,True,False,False
25,TRIS_TRAS,True,False,False,True,False,True,False,False
26,Bolsa de satén para guardar juguetes eróticos,False,False,False,False,False,True,False,False
27,LINEAS INFINITAS,False,False,False,False,False,False,True,False
28,JOYSTICK,False,True,True,True,False,True,True,False
29,MYSTERY,False,False,False,False,False,False,True,False
30,REGGIA,True,False,False,False,False,True,False,False
31,EXPLORE PERFECT,False,False,True,True,False,True,False,False
32,ALAS LIRIO,False,False,False,False,False,False,False,False
33,AVATAR FIRST LOVER,True,False,True,True,False,True,False,False
34,MENEO sube y baja,False,False,True,True,False,True,False,False
35,Pro ANAL,True,True,False,False,False,True,False,False
36,PASSTICIO,False,False,False,False,False,False,True,False
37,YANTA,False,False,False,False,False,False,False,False
38,ÁTAME FUERTE,False,False,True,False,False,False,False,False
