ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,LISTA_URL,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
0,TOK®,el vibrador sumergible más vendido de amantis,"descubre el encanto y la funcionalidad con tok®, el vibrador sumergible que ha conquistado los corazones y despertado los sentidos de mas de 20.000 personas. su diseño elegante y sencillo, combinado con una vibracion equilibrada y constante, lo convierte en un must-have de amantis.diseño mono y accesible: con un aspecto adorable y un precio accesible, tok® es tan encantador que te preguntaras como has vivido sin el.sumergible y versatil: apto para ser usado bajo el agua, tok® es perfecto para explorar el placer en la ducha o la bañera.silencioso y discreto: ideal para momentos de intimidad sin distracciones.material seguro: fabricado en abs, tok® es rigido, aterciopelado al tacto, hipoalergenico y sin olor.compatibilidad: funciona perfectamente con lubricantes de silicona, de agua y preservativos.dimensiones optimas: su punta ligeramente mas gruesa (2 cm de ancho) facilita la maniobra y estimulacion efectiva.para el y para ella: ideal para estimular los testiculos, el perineo, el pubis, y el clitoris, proporcionando sensaciones intensas y placenteras.uso recomendado:individual: explora tus zonas erogenas y descubre nuevas sensaciones.en pareja: intensifica la experiencia durante la penetracion para un climax vibrante y audaz.especificaciones:longitud: 7.5 cmancho: 2 cmmaterial: abs de alta calidadbateria: utiliza una pila aa lr1 n (incluida)colores disponibles: una paleta de 5 opciones para elegir tu favorito.en definitiva, tok® no es solo un vibrador, es una experiencia de placer personalizada. a solas o en pareja, bajo el agua o en la intimidad de tu habitacion, tok® esta listo para ser tu acompañante de juegos humedos. ¡no te pierdas la oportunidad de tener el vibrador sumergible mas vendido de amantis!",,https://www.amantis.net/tok-el-vibrador-sumergible-mas-vendido-amantis/,False,False,False,True,False,True,True,False
1,TOBOGANE,el vibrador doble más vendido,"por favor, desabrochense los cinturones de seguridad. las curvas mas atractivas y emocionantes que hayas probado te estan esperando. disfruten del nuevo tobogane hot.creenos, subir a tobogane puede ser una de las elecciones mas estimulantes que hayas tomado. tan solo con sacarlo de su exclusiva caja y acariciar su suave silicona y sus formas semi-flexibles te haran sentir un escalofrio de placer.... y te robara una sonrisa al pensar que se sentira.pero las prestaciones de tobogane van mas alla y lo hacen unico en su categoria, su sencillo sistema de control, sus 10 modos de vibracion en dos zonas, su nuevo efecto calor independiente, su sistema de carga y que lo puedas sumergir lo hacen totalmente unico, y ¿su precio...? ah si su precio... tan ligero, casi inapreciable.de tamaño perfecto, ni muy grande ni muy pequeño, sirve para iniciarse en el mundo de la fantasia para adultos, en el cosquilleo anal, e incluso para disfrutar en pareja sin que nadie se sienta desplazado. activa su efecto calor, y disfruta de una sensacion calida para una introduccion suave y sin sobresaltos.la ultima atraccion exclusiva de amantis es mas que tentadora... es irresistible, lo sabemos. ¿quieres emociones? subete a tobogane hot antes de que se agote.","Vibrador con doble motor. Medidas:  19cm, (11cm de penetración) diámetro máximo 3,3cm, mínimo 2,2cm. 2 motores independientes. Material: silicona de grado médico (100% compatible con el cuerpo). Ergonómico y de fácil manejo. Sumergible. Recargable por puerto USB, incluye cable. Contiene estuche rígido de guardado y bolsita de satén. 10 modos de vibración ultra silenciosa. Efecto calor (a los pocos segundos se calentará hasta 39 grados) ",https://www.amantis.net/tobogane-el-vibrador-doble-mas-vendido-ahora-efecto-hot/,False,True,False,False,False,False,True,False
2,MUST,vibrador interactivo de larga distancia,"must es un vibrador interactivo de ultima generacion diseñado para parejas y usuarios individuales. ofrece una experiencia unica en interactividad, permitiendo el control remoto a traves de una aplicacion movil avanzada. su diseño elegante y discreto lo hace ideal para llevarlo discretamente en cualquier lugar."," Destacadas:Control Remoto a Través de Aplicación Móvil: Permite controlar el dispositivo desde cualquier lugar del mundo.Diseño Ergonómico y Discreto: Fabricado con silicona suave de grado médico, es seguro para el cuerpo y cómodo de usar.Personalización de Patrones de Vibración: Crea tus propios patrones o elige entre una variedad preestablecida.Sincronización con Música y Sonidos: Se sincroniza con tu música favorita o sonidos ambientales para una experiencia personalizada.Resistente al Agua: Ideal para usar en la ducha o en el baño.Batería de Larga Duración: Carga rápida USB con una duración extendida para uso ininterrumpido.Modo Silencioso: Funcionamiento ultra silencioso para una mayor discreción.Modo Sencillo: Si un día no te quieres complicar, simplemente activa la vibración desde su rabito.Beneficios:Fortalece las Relaciones a Larga Distancia: Ideal para parejas que buscan mantener una conexión íntima a pesar de la distancia.Exploración de Nuevas Sensaciones: Alienta la exploración de nuevas formas de placer, tanto en solitario como en pareja.Interactividad y Diversión: Añade un elemento de diversión y juego en la vida íntima. Ver características y medidasVibrador controlado por APPSumergible10 modos de vibraciónRecargable (USB incluido)100% cubierto de siliconaLargo 21,5cm Ancho en cabeza 3,8cm Ancho en la colita 1,7cmPeso 82 gr ",https://www.amantis.net/must-vibrador-interactivo-de-larga-distancia/,False,False,False,False,False,True,True,False
3,KUCHI,minisuccionador sónico de amantis,"kuchi ¡pero que monada de succionador de clitoris! es tan mono que querras llevartelo a todas partes... ¡ah! espera... ¡que gracias a su tamaño compacto podras hacerlo! si te apetece usarlo mientras tienes penetracion no se interpondra entre tu y tu acompañante... y como es sumergible podras usarlo hasta en la bañera.tu nuevo compañero made in amantis tiene una boquilla de silicona blandita, y otra extra que cubrira mas espacio cuando lo apoyes contra ti, para que sea como sea tu cuerpo, kuchi pueda hacerte temblar.su boton unico de facil manejo y sus 9 modos de potente succion combinados con la suavisima vibracion de su motor lo hacen infalible contra esos ratos de aburrimiento.¿vas a dejarte deborar a besos?"," Succionador sónicoMaterial: silicona médica y ABSRecargable mediante imanes (cable de carga incluido). Tiempo de carga 1.5h, tiempo de uso continuado 1-1.5h Sumergible IPX7Silencioso <40 dbsMedidas: 10.2 de alto x 3.8cm de profundidad.Colores: Negro, púrpura o fucsiaLimpieza y conservación: Utiliza tu lubricante con base de agua favorito para cualquier tipo de juego sexual y obtener así la mejor experiencia. No olvides lavar siempre tus juguetes después de cada uso con un limpiador específico como nuestro spray limpiador Limpín. Te recomendamos mantener los juguetes separados entre sí en un lugar seguro y seco. Puedes utilizar nuestras bolsas de satén en tamaño pequeño. ",https://www.amantis.net/kuchi-minisuccionador-sonico-amantis/,False,False,False,True,False,False,True,False
4,PACHA,succionador y vibrador punto g,"como casi todo el mundo sabe, el succionador arraso en el mundo del placer, y tuvo y tiene sus años de gloria. el placer empieza a estar de moda y por eso no paramos de venir con novedades que te haran ir cada vez mas lejos.pacha es un juguete muy completo que abrazara tu vagina y tu vulva acoplandose especialmente bien a tu anatomia. un estimulador por ondas, o succionador como mas comunmente se conoce, y un vibrador ahuevado para introducir en nuestra vagina en el mismo juguete. si no sabes si decidir entre la estimulacion interna o externa, ¿por que no tener las dos a la vez?estos vibradores tienen una silueta suave y forma una curva que se adaptara a nuestra zona pelvica permitiendo una estimulacion doble, tanto en nuestro clitoris como en nuestro punto g. el estimulador de ondas de pacha no es como los demas succionadores, pues su programacion de nueve frecuencias diferentes tiene programas de baja intensidad y algunos que juegan con dejar espacios sin nada. el succionador de pacha pone el foco en alargar la fase de la excitacion previa al orgasmo. es un succionador que por su programacion no sobreestimula el clitoris, sino que respeta sus tiempos y le da una de cal y otra de arena.ademas tiene una asa justo en la parte de la articulacion, y esto es toda una novedad, ya que hace que un juguete que es, aparentemente, de posicion fija, se convierta en un juguete movil con el que podremos jugar a juegos de entrada y salida. tambien nos permitira acomodar el estimulador de ondas en la zona donde queramos de una manera facil y manejable, independientemente de si nuestro clitoris esta mas abajo o mas arriba.otra ventaja que nos ofrece el asa es la posibilidad de retirarlo en los segundos posteriores al orgasmo para evitar cualquier molestia. el asa tambien es un gran aliado de nuestro amantes, pues tendran un grado mas alto de participacion a la hora de jugar con nosotras y nuestros juguetes.recibiras besos tiernos y placenteros en tu clitoris, asi como vibracion en tu interior. se trata de un vibrador punto g con el que podras elegir entre 9 patrones de vibracion en la zona del dildo y disfrutar de la estimulacion interna y externa a la vez, que es toda una delicia. el hecho de que podamos estimularnos por ambas zonas al mismo tiempo hara que tengamos un orgasmo interconectado y sera mucho mas intenso.los orgasmos intensos no solo nos interesan por el placer en si, que tambien, sino porque hacen que los beneficios de los mismos se potencien, asi pues, tendremos la piel mas brillante, estaremos de mejor humor, disminuimos el estres y favorecemos el sueño.","Vibrador con succión sónicaMedidas: 13 cm largo, 3.5 cm anchoMateriales: Silicona de grado médico + ABS2 horas de uso continuado120 minutos para una carga completa9 modos de vibración9 modos de succiónSumergible IPX7Recargable (cargador USB incluido)SilenciosoCómo se usa PACHA, vibrador succionador Punto G.Puedes empezar utilizando la vibración para poder activar el circuito de placer; con la misma vibración podrás despertar al cuerpo y avisarle que se prepare para recibir placer.Para comenzar con la estimulación doble, te recomendamos que introduzcas primero el dildo en tu vagina y luego acomodes la parte del clítoris. No todas tenemos el clítoris en el mismo sitio, así que tómate el tiempo que necesites para hacerlo coincidir y usa el asa para poder acomodarlo lo mejor que puedas. ¡No tengas prisa!Ya sea porque has probado los succionadores de clítoris y quieres nuevas sensaciones, o porque te quieres lanzar a la piscina, has de saber que estas funciones son independientes. Poniendo al revés este juguete, podremos usar solo la parte del succionador y combinarlo con una penetración en pareja.No olvides acompañarlo con tu lubricante a base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/pacha-succionador-y-vibrador-punto-g/,False,False,False,True,False,True,True,False
5,PARADISE,succionador de clítoris con lengüita y dildo móvil,"cada persona concibe el paraiso de una manera diferente, y no todos los juguetes son para todas. pero hay algunos juguetes que simulan diferentes escenarios gracias a sus multiples combinaciones de uso, y por ello son para un publico mas amplio. ¡no hay fallo! paradise es uno de ellos, un todo en uno, un vibrador del que no te cansaras porque cada dia se te ocurrira una nueva manera de usarlo. cuenta con dos extremos, uno de ellos con un succionador de clitoris con una pequeña y fina lengüita en vertical que acariciara tu clitoris suavemente con 9 velocidades, desde lo mas suave hasta lo mas cañero. en el otro extremo encontraras un dildo abombado y levemente estriado con 9 patrones de vibracion para estimular tu punto g. como se utiliza el vibrador succionador paradisela parte del centro completamente flexible nos permite colocarlo completamente recto o tambien adaptarlo a la forma de tipo c. es decir, que podremos estimular la parte externa de la vagina y la interna de manera simultanea o de manera alterna, ya que paradise se adapta y se queda fijo en la posicion que tu lo quieras mantener. habla con tu amante y dile que quieres hacer un trio, y saca a paradise. gracias a sus multiples combinaciones y flexibilidad es el compañero perfecto de nuevas y creativas posturas. paradise esta preparado para dar estimulaciones conjuntas, placer a dos personas a la vez, un nuevo paraiso. para sacarle el maximo partido a paradise y que todo fluya y resbale, te recomendamos siempre usar uno de nuestros lubricantes a base de agua como desliz!. ya que paradise tiene muchisimas funciones es un gran regalo si no conoces demasiado los gustos sexuales de la persona en cuestion. ¡acierto seguro!","Medidas: 11,2cm x 3,6cm x 2cm Material: silicona + abs 9 modos de vibración Tipo de carga: mediante cable USB (incluido) Sumergible IPX7 Color: Fucsia y morado Recomendaciones de uso, limpieza y almacenaje: No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/paradise-succionador-clitoris-lenguita-dildo-movil/,False,False,False,True,False,True,True,False
6,SuctionMaster,poderoso desarrollador de pene automático,"el suctionmaster es un dispositivo revolucionario que combina la funcionalidad de un desarrollador de pene con el placer de una capsula de masturbacion. utilizando una tecnologia de succion avanzada, esta diseñado para hombres que desean mejorar su tamaño y disfrutar de una experiencia placentera y efectiva."," Destacadas:Bomba de Succión: Tecnología de vanguardia para el desarrollo efectivo del pene.Manga Masturbadora Automática: Con una manga suave de color carne para una experiencia agradable.Modos de Vibración: 9 modos para una experiencia personalizable.Modos de Succión: 4 modos intermitentes y 1 modo continuo, para diversas intensidades.Recargable: Fácil de cargar, eliminando la necesidad de baterías externas.Medidas: Longitud de 31.50 cm y diámetro máximo de 8.8 cm. Manga masturbadora de 16.5 cm de longitud y 2.6 cm de diámetro interior.Material: Construido con ABS y TPE para durabilidad y seguridad.Beneficios del Desarrollador:Aumento de Tamaño: Ayuda en el desarrollo y aumento del tamaño del pene.Efectivo y Seguro: Combinación de succión y vibración para resultados efectivos y seguros.Experiencia de Usuario:El SuctionMaster es ideal para aquellos que buscan mejorar su virilidad y disfrutar de una experiencia de placer. Su diseño ergonómico y fácil manejo asegura una experiencia cómoda y efectiva.Instrucciones de Uso y Cuidado:Cargar completamente antes del primer uso.Usar con lubricante a base de agua para una experiencia óptima.Limpiar con agua y jabón neutro después de cada uso.Leer y seguir las instrucciones para un uso seguro y correcto.Advertencias de Seguridad:Liberación de Presión: En caso de sentir una presión elevada, simplemente gira la cápsula para separar la base. Esto liberará inmediatamente la presión, permitiendo un uso seguro y controlado.Suspende su uso si sientes cualquier molestia. Utilizalo progresivamente.Antes de probarlo con el pene, prueba con otra parte de tu cuerpo para sentir la presión y aprender a manejarlo.El producto se debe usar con el pene en erección.Suction Master es un producto con una gran potencia de succión, por favor asegurate de usarlo correctamente.Adquiere tu SuctionMaster:Descubre la combinación perfecta de desarrollo y placer con el SuctionMaster, un dispositivo innovador que redefine la experiencia masculina. ",https://www.amantis.net/suctionmaster-desarrollador-de-pene-automatico/,False,False,False,False,True,False,False,False
7,ALAHA,plug anal de aluminio pulido con brillante,"alaha es el hermano macizo del plug-anal gota-suave y ofrece sus servicios de placer anal con la misma atrevida forma de gota de lluvia que su hermanito de silicona, pero en otro material muy distinto al tacto: el del aluminio pulido (sin niquel) realizado sin juntas ni rebordes para los amantes de los juguetes rigidos. alaha ofrece un acabado ultra-liso que desea conquistarte y una decoracion brillante de lo mas chic en su base que ocultara tu ano tras sus destellos si lo dejas insertado en el cuerpo, donde apenas te pedira dilatacion gracias a la parte vertical de su base, mucho mas estrecha que el ancho maximo de “la gota”.puedes enfriar este refinado aplique-anal en la nevera o dejarlo un rato en agua calentita antes de usarlo, si te gustan los placeres que ofrecen los cambios de temperatura… dejate enamorar con su contundencia, su peso considerable y su rapido ensanchamiento de entrada gracias a su forma de gota, que sugiere manejarlo con precision y muchos cariñitos desde su marcada y notable punta. atrevete con precisos juegos de entrada y salida, o dejando tu alaha dentro del conducto anal, muy comodamente insertado gracias a su estrechisimo soporte vertical de la base, que apenas requiere dilatacion. goza como te venga mas en gana (y no ponga en riesgo la salud ni el placer de nadie, claro). solo necesitas buenas dosis del lubricante intimo que mas te guste y dejarte llevar por tus mejores instintos anales. alaha  esta disponible en tres tamaños y pesos distintos: pequeño, mediano y grande. sensaciones ultra-lisas, puntiagudas y poderosas que tan solo el aluminio pulido (sin niquel) puede ofrecer.¿te aplicas… o te lo aplican?","· Realizados en Aluminio ultra-liso. · NO contienen níquel. · Decoración engarzada en la base con forma de brillante en plástico rígido.Modelo Pequeño: · Peso: 52gr. · Longitud total: 7cm, operativa: 6cm. · Longitud de “la gota”: 4cm  · Ancho máximo: (aprox) 2.7cm · Ancho soporte de la base: (aprox) 1cm.Modelo Mediano: · Peso: 88gr. · Longitud total: 8cm, operativa: 7cm. · Longitud de “la gota”: 5cm · Ancho máximo: (aprox) 3,5cm · Ancho soporte de la base: (aprox) 1cmModelo Grande: · Peso: 340gr. · Longitud total: 9,5cm, operativa: 8,5cm. · Longitud de “la gota”: 6cm · Ancho máximo: (aprox) 4cm · Ancho soporte de la base: (aprox) 1,2cm ** Este Juguete Anal posee un extremo inicial muy apuntado. Manejar con calma y precisión. ** ** El color del brillante puede variar en relación al de las fotos. ** ",https://www.amantis.net/alaha-plug-anal-aluminio-pulido-brillante/,True,True,False,False,False,False,True,False
8,WASHI,la ducha anal de amantis,"lo sabemos, el sexo anal es por muchisimas razones uno de los placeres de la vida mas grandes y ocultos, tanto si se disfruta a solas como en compañia. sin embargo para que vaya todo “suave como la seda” requiere de cierta preparacion... yaaa, lo sabemos… a veces da pereza, pero piensa en como lo vas a pasar despues… ¡merece la pena!  gracias a washi ducha anal, tu culito va a quedar reluciente y tu vas a sentirte con mas seguridad y confianza para alcanzar nuevas cotas de placer anal, con gusto y sin miedo a sorpresas inesperadas. su canula de aplicacion es semi-rigida pero muy suave y deslizante. simplemente llena el deposito con agüita templada, aplica unas gotas de lubricante, introduce la canula hasta el fondo, coge aire y... siente el agua dentro de tu cuerpo limpiandote en profundidad. veenga, ya paso, ya paso, secate esos lagrimones y empieza a disfrutar con total tranquilidad de tu nueva y flamante zona de juegos anales. con una sola aplicacion la ducha anal ha dejado tu lado oscuro brillante como una patena y ahora solo queda pasarlo bien. a disfrutar que te lo has ganado.","longitud total del producto 13.5cm longitud de la cánula: 5.5cm diámetro máximo de la cánula 0.7cmdepósito fabricado en PVC cánula fabricada en PE (plástico rígido sin ftalatos ni alergias, bueno con tu cuerpo) ",https://www.amantis.net/washi-la-ducha-anal-amantis-un-enema-muy-ameno/,True,True,False,False,False,False,True,False
9,KLEIN,pene realista con ventosa,"¡la familia de dildos realistas de amantis da la bienvenida a un nuevo y encantador miembro: klein! este hermoso dildo realista se destaca por su tamaño compacto, ideal para quienes buscan una experiencia mas manejable y discreta.dimensiones versatileslongitud insertable: 13 cm, perfectamente dimensionada para comodidad y placer.diametro: 3 cm, diseñado para una insercion suave y satisfactoria."," Únicas de KLEINTestículos Realistas: No solo añaden un toque de realismo, sino que también funcionan como una base ergonómica para un agarre fácil y una movilidad óptima.Ventosa Robusta: Amplía las posibilidades de juego. Se adhiere con seguridad a superficies lisas como duchas, azulejos, muebles y paredes, brindando versatilidad y manos libres en tus aventuras.Compatibilidad con Arnés: KLEIN es perfectamente compatible con arneses de anillas, lo que lo hace ideal para un juego variado y emocionante.Materiales y CuidadoFlexible pero Firme: Fabricado con materiales de la más alta calidad, KLEIN es flexible para adaptarse a tus movimientos, pero lo suficientemente firme para una experiencia contundente.Lubricante Recomendado: Utiliza nuestro lubricante en base acuosa Desliz para una experiencia suave y segura.Limpieza Fácil: Mantén a KLEIN en perfecto estado con Limpín, nuestro limpiador bactericida especialmente formulado para juguetes.¡Abraza y disfruta cada momento con KLEIN, la última incorporación a nuestra colección, y experimenta una larga y placentera vida junto a él! Ver características y medidas· Largo practicable 13 cm (largo total 18 cm) · 3 cm diámetro. · Fabricado en TPE (sin alergias ni olores) · Ventosa adherente a superficies planas · Tacto súper real · Compatible con arnés universal de amantis ",https://www.amantis.net/klein-pene-realista-con-ventosa/,False,False,False,True,False,True,True,False
