,ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,LISTA_URL,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
0,0,LEO Dildo Realista VIVO,,¡descubre la revolucion del placer con leo dildo realista vivo! la serie vivo redefine la experiencia intima con su diseño innovador y prestaciones que simulan la realidad de forma magica. preparate para explorar nuevas dimensiones de satisfaccion.," principales:Tacto VIVO: La tecnología de doble piel de LEO Dildo Realista VIVO ofrece una textura y un tacto inigualables que replican una sensación real al contacto. La experiencia de suavidad y calidez te transportará a un nivel de placer inédito.Movimiento VIVO: Este no es un dildo cualquiera; LEO VIVO trae movimientos de empuje realistas que imitan a la perfección la dinámica humana. La precisión y variedad de los movimientos te garantizan una experiencia profundamente satisfactoria y sorprendentemente real.Vibración VIVO: Con varias configuraciones de vibración, LEO Dildo Realista VIVO puede pasar de un suave temblor a intensas ondas de placer. Los patrones de vibración son fácilmente ajustables para que encuentres tu ritmo perfecto y te sumerjas en una ola de éxtasis.Calor VIVO: La capacidad de calentarse hasta los 40 ºC hace que LEO VIVO sea un pionero en confort y realismo. Este calor suave intensifica la experiencia, haciéndola no solo más realista, sino también más placentera y envolvente.Características Ténicas:Tamaño: Longitud total incluyendo ventosa 22 cm de largo, 16,5 cm de penetración aproximada. Diámetro 3,6 cm, diseñado para satisfacer sin sobrepasar.Recargable por USB: Olvídate de las pilas. Su batería de larga duración asegura horas de disfrute y es fácilmente recargable con cualquier cable USB.Sumergible: Diseñado para ser completamente sumergible, LEO VIVO te acompañará en la bañera, en la ducha o en cualquier otra aventura acuática.Control remoto incluido: Para una experiencia manos libres o para jugar en pareja, el mando a distancia amplía las posibilidades de juego y placer.Silicona líquida: 100% silicona líquida gustosísima.¡Explora el placer con una autenticidad nunca antes vista con LEO Dildo Realista VIVO! Sumérgete en una experiencia que combina la ciencia más avanzada con el arte del placer. Ideal para quienes buscan sensaciones fuertes, realistas y novedosas. Atrévete a vivir la experiencia VIVO. ",https://www.amantis.net/leo-dildo-realista-vivo/,False,False,False,True,False,True,False,False
1,1,TOK®,el vibrador sumergible más vendido de amantis,"descubre el encanto y la funcionalidad con tok®, el vibrador sumergible que ha conquistado los corazones y despertado los sentidos de mas de 20.000 personas. su diseño elegante y sencillo, combinado con una vibracion equilibrada y constante, lo convierte en un must-have de amantis.diseño mono y accesible: con un aspecto adorable y un precio accesible, tok® es tan encantador que te preguntaras como has vivido sin el.sumergible y versatil: apto para ser usado bajo el agua, tok® es perfecto para explorar el placer en la ducha o la bañera.silencioso y discreto: ideal para momentos de intimidad sin distracciones.material seguro: fabricado en abs, tok® es rigido, aterciopelado al tacto, hipoalergenico y sin olor.compatibilidad: funciona perfectamente con lubricantes de silicona, de agua y preservativos.dimensiones optimas: su punta ligeramente mas gruesa (2 cm de ancho) facilita la maniobra y estimulacion efectiva.para el y para ella: ideal para estimular los testiculos, el perineo, el pubis, y el clitoris, proporcionando sensaciones intensas y placenteras.uso recomendado:individual: explora tus zonas erogenas y descubre nuevas sensaciones.en pareja: intensifica la experiencia durante la penetracion para un climax vibrante y audaz.especificaciones:longitud: 7.5 cmancho: 2 cmmaterial: abs de alta calidadbateria: utiliza una pila aa lr1 n (incluida)colores disponibles: una paleta de 5 opciones para elegir tu favorito.en definitiva, tok® no es solo un vibrador, es una experiencia de placer personalizada. a solas o en pareja, bajo el agua o en la intimidad de tu habitacion, tok® esta listo para ser tu acompañante de juegos humedos. ¡no te pierdas la oportunidad de tener el vibrador sumergible mas vendido de amantis!",,https://www.amantis.net/tok-el-vibrador-sumergible-mas-vendido-amantis/,False,False,False,True,False,True,True,False
2,2,TOBOGANE HOT: Un Viaje hacia el Placer Más Profundo,,"descubre tobogane hot, la nueva version mejorada del vibrador doble mas vendido de amantis, ahora con un emocionante efecto calor. preparate para explorar las curvas mas atractivas y estimulantes con este juguete diseñado para proporcionar placer intensificado.con un tacto suave gracias a su silicona de grado medico y un diseño semi-flexible, tobogane hot invita a una experiencia sensual desde el primer contacto. este vibrador no solo es un deleite al tacto, sino que tambien promete llevar tus sensaciones a un nuevo nivel con sus 10 modos de vibracion ultra silenciosa distribuidos en dos zonas de estimulacion y dos motores independientes."," destacadas:Dimensiones: Total de 19 cm, con 11 cm insertables. Diámetro desde 3,3 cm hasta 2,2 cm.Material: Silicona médica, segura y amigable con el cuerpo.Motores: Dos motores independientes para una vibración más diversa.Control: Ergonómico y fácil de manejar.Sumergible: Totalmente apto para usar bajo el agua.Recargable: Incluye cable USB para una carga conveniente.Almacenamiento: Viene con estuche rígido y bolsa de satén para un guardado seguro y discreto.Modos de Vibración: 10 configuraciones para explorar una amplia gama de sensaciones.Efecto Calor: Se calienta hasta los 39 grados para una sensación cálida y envolvente.TOBOGANE HOT no es solo un juguete sexual; es una invitación a una aventura de sensaciones, ideal para principiantes en el mundo adulto, estimulación anal o para disfrutar en pareja sin exclusiones. Activa el efecto calor y prepárate para una introducción suave y excitante.¿Buscas emociones intensas? No dejes pasar la oportunidad de probar TOBOGANE HOT. Ver características y medidasVibrador con doble motor.Medidas:  19cm, (11cm de penetración) diámetro máximo 3,3cm, mínimo 2,2cm.2 motores independientes.Material: silicona de grado médico (100% compatible con el cuerpo).Ergonómico y de fácil manejo.Sumergible.Recargable por puerto USB, incluye cable.Contiene estuche rígido de guardado y bolsita de satén.10 modos de vibración ultra silenciosa.Efecto calor (a los pocos segundos se calentará hasta 39 grados) ",https://www.amantis.net/tobogane-el-vibrador-doble-mas-vendido-ahora-efecto-hot/,False,False,False,False,False,True,True,False
3,3,KUCHI,minisuccionador sónico de amantis,"kuchi ¡pero que monada de succionador de clitoris! es tan mono que querras llevartelo a todas partes... ¡ah! espera... ¡que gracias a su tamaño compacto podras hacerlo! si te apetece usarlo mientras tienes penetracion no se interpondra entre tu y tu acompañante... y como es sumergible podras usarlo hasta en la bañera.tu nuevo compañero made in amantis tiene una boquilla de silicona blandita, y otra extra que cubrira mas espacio cuando lo apoyes contra ti, para que sea como sea tu cuerpo, kuchi pueda hacerte temblar.su boton unico de facil manejo y sus 9 modos de potente succion combinados con la suavisima vibracion de su motor lo hacen infalible contra esos ratos de aburrimiento.¿vas a dejarte deborar a besos?"," Succionador sónicoMaterial: silicona médica y ABSRecargable mediante imanes (cable de carga incluido). Tiempo de carga 1.5h, tiempo de uso continuado 1-1.5h Sumergible IPX7Silencioso <40 dbsMedidas: 10.2 de alto x 3.8cm de profundidad.Colores: Negro, púrpura o fucsiaLimpieza y conservación: Utiliza tu lubricante con base de agua favorito para cualquier tipo de juego sexual y obtener así la mejor experiencia. No olvides lavar siempre tus juguetes después de cada uso con un limpiador específico como nuestro spray limpiador Limpín. Te recomendamos mantener los juguetes separados entre sí en un lugar seguro y seco. Puedes utilizar nuestras bolsas de satén en tamaño pequeño. ",https://www.amantis.net/kuchi-minisuccionador-sonico-amantis/,False,False,False,True,False,False,True,False
4,4,PACHA,succionador y vibrador punto g,"como casi todo el mundo sabe, el succionador arraso en el mundo del placer, y tuvo y tiene sus años de gloria. el placer empieza a estar de moda y por eso no paramos de venir con novedades que te haran ir cada vez mas lejos.pacha es un juguete muy completo que abrazara tu vagina y tu vulva acoplandose especialmente bien a tu anatomia. un estimulador por ondas, o succionador como mas comunmente se conoce, y un vibrador ahuevado para introducir en nuestra vagina en el mismo juguete. si no sabes si decidir entre la estimulacion interna o externa, ¿por que no tener las dos a la vez?estos vibradores tienen una silueta suave y forma una curva que se adaptara a nuestra zona pelvica permitiendo una estimulacion doble, tanto en nuestro clitoris como en nuestro punto g. el estimulador de ondas de pacha no es como los demas succionadores, pues su programacion de nueve frecuencias diferentes tiene programas de baja intensidad y algunos que juegan con dejar espacios sin nada. el succionador de pacha pone el foco en alargar la fase de la excitacion previa al orgasmo. es un succionador que por su programacion no sobreestimula el clitoris, sino que respeta sus tiempos y le da una de cal y otra de arena.ademas tiene una asa justo en la parte de la articulacion, y esto es toda una novedad, ya que hace que un juguete que es, aparentemente, de posicion fija, se convierta en un juguete movil con el que podremos jugar a juegos de entrada y salida. tambien nos permitira acomodar el estimulador de ondas en la zona donde queramos de una manera facil y manejable, independientemente de si nuestro clitoris esta mas abajo o mas arriba.otra ventaja que nos ofrece el asa es la posibilidad de retirarlo en los segundos posteriores al orgasmo para evitar cualquier molestia. el asa tambien es un gran aliado de nuestro amantes, pues tendran un grado mas alto de participacion a la hora de jugar con nosotras y nuestros juguetes.recibiras besos tiernos y placenteros en tu clitoris, asi como vibracion en tu interior. se trata de un vibrador punto g con el que podras elegir entre 9 patrones de vibracion en la zona del dildo y disfrutar de la estimulacion interna y externa a la vez, que es toda una delicia. el hecho de que podamos estimularnos por ambas zonas al mismo tiempo hara que tengamos un orgasmo interconectado y sera mucho mas intenso.los orgasmos intensos no solo nos interesan por el placer en si, que tambien, sino porque hacen que los beneficios de los mismos se potencien, asi pues, tendremos la piel mas brillante, estaremos de mejor humor, disminuimos el estres y favorecemos el sueño.","Vibrador con succión sónicaMedidas: 13 cm largo, 3.5 cm anchoMateriales: Silicona de grado médico + ABS2 horas de uso continuado120 minutos para una carga completa9 modos de vibración9 modos de succiónSumergible IPX7Recargable (cargador USB incluido)SilenciosoCómo se usa PACHA, vibrador succionador Punto G.Puedes empezar utilizando la vibración para poder activar el circuito de placer; con la misma vibración podrás despertar al cuerpo y avisarle que se prepare para recibir placer.Para comenzar con la estimulación doble, te recomendamos que introduzcas primero el dildo en tu vagina y luego acomodes la parte del clítoris. No todas tenemos el clítoris en el mismo sitio, así que tómate el tiempo que necesites para hacerlo coincidir y usa el asa para poder acomodarlo lo mejor que puedas. ¡No tengas prisa!Ya sea porque has probado los succionadores de clítoris y quieres nuevas sensaciones, o porque te quieres lanzar a la piscina, has de saber que estas funciones son independientes. Poniendo al revés este juguete, podremos usar solo la parte del succionador y combinarlo con una penetración en pareja.No olvides acompañarlo con tu lubricante a base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/pacha-succionador-y-vibrador-punto-g/,False,False,False,True,False,True,True,False
5,5,BISOU,besos por ondas de succión con la mejor vibración,"en amantis tambien tenemos nuestros favoritos, y hemos de admitir que estas ante uno de los juguetes que mas acogida tienen entre la gente que nos visita. y no nos sorprende porque bisou lleva en abrazando vaginas mucho tiempo en amantis y todo el que le queda. ya se ha convertido en uno de nuestros clasicos, y como sabemos, los clasicos nunca mueren. bisou es un juguete muy completo, versatil y flexible. un estimulador por ondas, o succionador como mas comunmente se conoce, y un dildo ahuevado para introducir en nuestra vagina en el mismo juguete. si no sabes si decidirte entre la estimulacion interna o externa, ¿porque no tener las dos a la vez? este juguete tiene una forma suave y forma una curva que se adaptara a nuestra zona pelvica permitiendo una estimulacion doble tanto en nuestro clitoris como en nuestro punto g. recibiras besos tiernos y placenteros en tu clitoris asi como vibracion en tu interior. podras elegir entre 9 patrones de vibracion en la zona del dildo y acomodar su diseño estriado haciendo que su relieve coincida con la zona que a ti tanto gustito te da. el hecho de que podamos estimularnos por ambas zonas al mismo tiempo hara que tengamos un orgasmo interconectado y sera mucho mas intenso. los orgasmos intensos no solo nos interesan por el placer en si, que tambien, sino porque hacen que los beneficios de los mismos se potencien, asi pues tendremos la piel mas brillante, estaremos de mejor humor, disminuiremos el estres y favoreceremos el sueño.","Vibrador para punto G y movimiento de lengua para el clítoris independientesVibración: 9 modosRecargable (cable USB incluido)Sumergible IPX7Material: Silicona de grado médicoMedidas: 13.3 cm totales de largo / 9.3 cm totales de anchoDildo: 10.5 cm penetrables / 3.5 cm diámetro máximoBoquilla con lengua: 1.75cm de diámetroLengua: 9 modos¿Cómo se usa el vibrador con succionador BISOU?Puedes empezar utilizando la vibración para poder activar el circuito de placer, con la misma vibración podrás despertar al cuerpo y avisarle que se prepare para recibir placer.Antes de que tu clítoris esté preparado para recibir la succión, te sugerimos que lo estimules con la vibración, si vas directa al grano, quizás las sensaciones sean demasiado intensas. Cuando más excitadas estamos, menos sensible es nuestro clítoris y más deseoso está de recibir cualquier sensación que se presente.Para comenzar con la estimulación doble, te recomendamos que introoduzcas primero el dildo en tu vagina y luego acomodes la parte del clítoris. No todas tenemos el clítoris en el mismo sitio, así que tomate el tiempo que necesites para hacerlo coincidir.Ya sea porque has probado los succionadores de clítoris y quieres nuevas sensaciones, o porque te quieres lanzar a la piscina, has de saber que estas funciones son independientes. El dildo se dobla de manera que podremos usar solo la parte del succionador y combinarlo con una penetración en pareja.No olvides acompañarlo con tu lubricante base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/bisou-besos-ondas-succion-la-mejor-vibracion/,False,False,False,True,False,True,True,False
6,6,PARADISE,succionador de clítoris con lengüita y dildo móvil,"cada persona concibe el paraiso de una manera diferente, y no todos los juguetes son para todas. pero hay algunos juguetes que simulan diferentes escenarios gracias a sus multiples combinaciones de uso, y por ello son para un publico mas amplio. ¡no hay fallo! paradise es uno de ellos, un todo en uno, un vibrador del que no te cansaras porque cada dia se te ocurrira una nueva manera de usarlo. cuenta con dos extremos, uno de ellos con un succionador de clitoris con una pequeña y fina lengüita en vertical que acariciara tu clitoris suavemente con 9 velocidades, desde lo mas suave hasta lo mas cañero. en el otro extremo encontraras un dildo abombado y levemente estriado con 9 patrones de vibracion para estimular tu punto g. como se utiliza el vibrador succionador paradisela parte del centro completamente flexible nos permite colocarlo completamente recto o tambien adaptarlo a la forma de tipo c. es decir, que podremos estimular la parte externa de la vagina y la interna de manera simultanea o de manera alterna, ya que paradise se adapta y se queda fijo en la posicion que tu lo quieras mantener. habla con tu amante y dile que quieres hacer un trio, y saca a paradise. gracias a sus multiples combinaciones y flexibilidad es el compañero perfecto de nuevas y creativas posturas. paradise esta preparado para dar estimulaciones conjuntas, placer a dos personas a la vez, un nuevo paraiso. para sacarle el maximo partido a paradise y que todo fluya y resbale, te recomendamos siempre usar uno de nuestros lubricantes a base de agua como desliz!. ya que paradise tiene muchisimas funciones es un gran regalo si no conoces demasiado los gustos sexuales de la persona en cuestion. ¡acierto seguro!","Medidas: 11,2cm x 3,6cm x 2cm Material: silicona + abs 9 modos de vibración Tipo de carga: mediante cable USB (incluido) Sumergible IPX7 Color: Fucsia y morado Recomendaciones de uso, limpieza y almacenaje: No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/paradise-succionador-clitoris-lenguita-dildo-movil/,False,False,False,True,False,True,True,False
7,7,TOK anal 10,vibrador anal con 10 modos de vibración,"el vibrador anal mas vendido de amantis ahora es un 10% mas potente y con 10 programas diferentes de vibracion. tok anal 10 es, obviamente, un juguete totalmente unisex, un fantastico explorador de los placeres anales, sea cual sea tu sexo o el grado de experiencia en esta materia. de suavisima y deslizante silicona, tiene la elasticidad necesaria para adaptarse comodamente en tu interior, pero a la vez la consistencia justa para adentrarse lentamente pero con decision y suavidad en un cuerpo que cada vez sera mas receptivo y con ganas de pasarlo bien y que se encontrara ahora mas preparado para disfrutar de una buena sesion de sexo anal mas severo. ademas su vibracion se reparte desde la bala vibradora de su base por todo tu tok anal 10, ayudandote a despistar y relajar tu cuerpo antes de comenzar su recorrido de placer. simplemente lubricalo con desliz! de agua (por ejemplo) y acaricia circularmente la zona con la puntita de tu tok anal, despues muy lentamente introduce una a una las bolitas tailandesas y juga con ellas girandolas sobre si mismas o como quieras, al ser la primera tan pequeñita entrara con gran facilidad, el resto... entraran solas, pero no dejes de probar a sacarlas todas a la vez durante el orgasmo, algun espasmo, sensaciones extrañas de vacio, escalofrios o tener toda la piel de gallina pueden acompañar y potenciar el que sera uno de los mejores orgasmos de tu vida. ademas es totalmente sumergible, asi que podras disfrutarlo en tu ducha o baño.¿no crees que ya toka?","   • longitud total con bala 16 cm (13Cm practicables), diámetro máximo (bola más ancha) 3,3 cm, mínimo (bola más estrecha) 1,8cm, diámetro entre bolas 1,2, 1,4 y 1,6 cm    • fabricado en silicona médica, 100% antialérgico y sin olores    • usa 3 pilas LR44 (incluidas)    • bala vibradora de 6 cm    • desmontable para su limpieza    • sumergible ",https://www.amantis.net/tok-anal-10-vibrador-anal-10-modos-vibracion/,False,True,False,False,False,True,True,False
8,8,WASHI,la ducha anal de amantis,"lo sabemos, el sexo anal es por muchisimas razones uno de los placeres de la vida mas grandes y ocultos, tanto si se disfruta a solas como en compañia. sin embargo para que vaya todo “suave como la seda” requiere de cierta preparacion... yaaa, lo sabemos… a veces da pereza, pero piensa en como lo vas a pasar despues… ¡merece la pena!  gracias a washi ducha anal, tu culito va a quedar reluciente y tu vas a sentirte con mas seguridad y confianza para alcanzar nuevas cotas de placer anal, con gusto y sin miedo a sorpresas inesperadas. su canula de aplicacion es semi-rigida pero muy suave y deslizante. simplemente llena el deposito con agüita templada, aplica unas gotas de lubricante, introduce la canula hasta el fondo, coge aire y... siente el agua dentro de tu cuerpo limpiandote en profundidad. veenga, ya paso, ya paso, secate esos lagrimones y empieza a disfrutar con total tranquilidad de tu nueva y flamante zona de juegos anales. con una sola aplicacion la ducha anal ha dejado tu lado oscuro brillante como una patena y ahora solo queda pasarlo bien. a disfrutar que te lo has ganado.","longitud total del producto 13.5cm longitud de la cánula: 5.5cm diámetro máximo de la cánula 0.7cmdepósito fabricado en PVC cánula fabricada en PE (plástico rígido sin ftalatos ni alergias, bueno con tu cuerpo) ",https://www.amantis.net/washi-la-ducha-anal-amantis-un-enema-muy-ameno/,True,True,False,False,False,False,True,False
9,9,AVATAR FIRST LOVER,amante realista de suave silicona,"no es ciencia ficcion, aunque te aseguramos sensaciones extraplanetarias: son los nuevos dildos 100% de silicona exclusivos de amantis, la nueva linea avatar.first lover es muy realista. su tacto es calido y amable, su color sorprende, pero ademas su silueta y sus detalles te transportan a una experiencia autentica de palpitantes colores. su impacto visual tremendo estimula el juego a solas, pero genera sudores hasta la extenuacion en compañia.¿no sabes que es la silicona de doble densidad? significa que hay dos capas de silicona: una interior con la consistencia necesaria para que el dildo sea flexible y a la vez se mantenga erguido, y una segunda capa que envuelve por completo a la primera que hace que sea muy blandito… tanto, ¡que podras incluso pellizcar tu dildo!aplica unas gotas de tu lubricante de base de agua favorito y acaricialo. su material, 100% silicona medica, es consistente pero suave, suficientemente rigido para abrirse por profundos caminos pero maleable para adaptarse por donde pase. si nunca has probado la silicona te sorprendera, y si ya la has gozado, sabes por que es el mejor material de tus dildos favoritos. su potente ventosa permite adherir a first lover a cualquier superficie lisa o utilizarlo en un arnes de anillas como el de amantis. y su calidad y forma lo hacen un excelente compañero de juegos e ilusiones por cualquier compuerta que quieras probar.¿sera tu primer amante?","Material 100% silicona de doble densidadLongitud total Pequeño 17,5 cm, diámetro 3,8 cm, insertable 13 cmLongitud total Mediano 19 cm, diámetro 4 cm, insertable 15 cmPeso 235 grFabricado en una sola piezaUsa solo lubricantes de base acuosaLimpiar antes y después de su usoGuárdalo alejado del contacto con otros juguetes de silicona. ",https://www.amantis.net/avatar-first-lover-amante-realista-suave-silicona/,True,False,True,True,False,True,True,False
