ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE
0,0,69.99,39.99
1,1,99.99,44.99
2,2,79.99,29.99
3,3,34.99,17.99
4,4,79.99,59.99
5,5,69.99,37.99
6,6,17.99,6.99
7,7,59.99,24.99
8,8,44.99,26.99
9,9,149.99,79.99
10,10,9.99,7.99
11,11,89.99,39.99
12,12,99.99,49.99
13,13,99.99,49.99
14,14,299.99,99.99
15,15,109.99,49.99
16,16,49.99,29.99
17,17,59.99,39.99
18,18,89.99,36.99
19,19,69.99,49.99
20,20,59.99,17.99
21,21,99.99,49.99
22,22,69.99,44.99
23,23,119.99,79.99
24,24,59.99,26.99
25,25,49.99,17.99
26,26,69.99,39.99
27,27,29.99,9.99
28,28,59.99,29.99
29,29,99.99,54.99
30,30,49.99,24.99
31,31,29.99,9.99
32,32,69.99,39.99
33,33,44.99,24.99
34,34,69.99,49.99
35,35,99.99,59.99
36,36,79.99,29.99
37,37,99.99,59.99
38,38,119.99,79.99
39,39,49.99,24.99
40,40,89.99,22.99
41,41,99.99,69.99
42,42,99.99,49.99
43,43,24.99,11.99
44,44,54.99,19.99
45,45,99.99,59.99
46,46,44.99,24.99
47,47,19.99,9.99
49,49,149.99,54.99
50,50,99.99,54.99
52,52,99.99,79.99
53,53,16.99,5.99
54,54,39.99,19.99
55,55,39.99,19.99
56,56,59.99,44.99
57,57,39.99,17.99
58,58,89.99,34.99
59,59,19.99,9.99
60,60,39.99,14.99
61,61,99.99,39.99
62,62,99.99,59.99
63,63,39.99,17.99
64,64,59.99,39.99
65,65,119.99,49.99
66,66,79.99,34.99
67,67,49.99,34.99
68,68,89.99,49.99
69,69,44.99,19.99
70,70,19.99,8.99
71,71,29.99,9.99
73,73,119.99,44.99
74,74,29.99,11.99
75,75,14.99,9.99
76,76,9.99,4.99
77,77,39.99,24.99
78,78,59.99,39.99
79,79,18.99,4.99
80,80,49.99,39.99
81,81,59.99,29.99
82,82,19.99,7.99
83,83,24.99,11.99
84,84,19.99,9.99
85,85,199.99,79.99
86,86,24.99,5.99
87,87,79.99,39.99
88,88,14.99,3.99
89,89,69.99,29.99
90,90,29.99,12.99
91,91,29.99,14.99
92,92,79.99,59.99
93,93,74.99,29.99
94,94,29.99,12.99
95,95,24.99,5.99
96,96,19.99,4.99
97,97,149.99,49.99
98,98,24.99,4.99
99,99,59.99,29.99
100,100,79.99,34.99
102,102,59.99,29.99
103,103,84.99,44.99
106,106,29.99,9.99
107,107,34.99,19.99
108,108,24.99,15.99
109,109,59.99,22.99
110,110,69.99,49.99
111,111,69.99,29.99
112,112,24.99,24.99
113,113,89.99,49.99
114,114,44.99,20.99
115,115,69.99,49.99
116,116,12.99,7.99
117,117,29.99,5.99
118,118,99.99,39.99
119,119,59.99,29.99
122,122,49.99,24.99
123,123,39.99,29.99
124,124,14.99,9.99
125,125,19.99,5.99
126,126,2.99,0.99
127,127,14.99,5.99
128,128,19.99,9.99
129,129,15.99,5.99
130,130,29.99,6.05
131,131,69.99,26.99
132,132,7.99,3.99
133,133,24.99,4.99
134,134,39.99,9.99
135,135,49.99,23.99
136,136,24.99,7.99
137,137,39.99,17.99
138,138,14.99,13.99
139,139,129.99,69.99
140,140,49.99,24.99
141,141,119.99,54.99
142,142,54.99,19.99
143,143,29.99,7.99
145,145,29.99,9.99
147,147,79.99,36.99
